,,0,1,2,3,4,5,6,7,8
"(0, 0, 0, 0, 0, 0, 0, 0, 0)",O,-4.0395470876217715e-08,-4.039547087621801e-08,-4.138896505723674e-08,-4.138896505723694e-08,-3.624852639513491e-08,-4.099684674283218e-08,-4.138896505723674e-08,-2.493391155365835e-08,-2.4933911553643602e-08
"(0, 0, 0, 1, 0, 0, 0, 0, 0)",X,-5.00153539882735e-06,-0.0001538154199443628,-0.00015373537009171742,-9.989770637503552,2.0694482528618472e-07,1.263118593301057e-07,-9.956277647316515e-05,-0.0001519010936911582,-0.00015278855879613637
"(0, 0, 0, 1, 0, 0, 2, 0, 0)",O,-0.00012180221337890477,-1.07385250476496e-05,-0.00025950556525168215,-0.07099779882095834,3.771509623438601e-05,-0.0012362124772281361,-0.021700642781042306,-3.891960089520619e-06,0.0005177673091905255
"(1, 0, 0, 1, 0, 0, 2, 0, 0)",X,-0.07793503794495092,-0.002904580224507209,-0.0032534513544992035,-0.020305472725149487,-0.004422705223190592,-0.0010667305895193542,-0.04071541773978889,0.0006823700746158834,-0.0003280174101137838
"(1, 0, 2, 1, 0, 0, 2, 0, 0)",O,-0.0997887972683192,-0.08752079146473331,-9.953294618475434,-9.975523114434631,0.019216940414327015,-0.09635329855793533,-0.034070578606549676,-0.09568757957801427,-0.09630001445020357
"(1, 0, 2, 1, 0, 1, 2, 0, 0)",X,-0.07032378014966707,-0.032318362312790706,-9.937804908233634,-0.09944698074513579,0.48284424417231186,0.00037962292275124654,0.021748996433938905,-0.05591605872029726,-0.0489147806456172
"(1, 2, 2, 1, 0, 1, 2, 0, 0)",O,-0.009087340445089145,-0.07942320172696515,0.08750222542435201,-0.043645035467257266,0.4455562214682748,-9.932402846999127,-0.05141021733993132,-0.05444272164319504,-0.06006089392459778
"(1, 2, 2, 1, 0, 1, 2, 0, 1)",X,0.06789953721253328,0.018670677790805362,-0.05646906597597015,-9.94363312477251,0.43195552616978383,-0.034774558792650345,-0.09683492490529318,-0.08320448197896416,-0.0907520908758134
"(1, 2, 2, 1, 2, 1, 2, 0, 1)",O,-0.024756307922394208,-0.02165293328211701,0.07775731875592334,0.0973582865970406,0.0354126151650995,0.06562205015500117,0.04194630877302338,0.03984519474757986,-0.0705008300624852
"(0, 0, 0, 0, 0, 0, 0, 1, 0)",X,-0.00015338344322801242,8.286233439870578e-09,-0.00015369498393874212,-0.00015358606681008607,1.2466955776821799e-07,-0.0001533853448695158,-9.20184613225748e-06,-9.974067655892974,-9.64529951834452e-06
