,,0,1,2,3,4,5,6,7,8
"(0, 0, 0, 0, 0, 0, 0, 0, 0)",O,-2.916142918413575e-14,-4.534022357692973e-14,-1.267797556909632e-13,-1.5130676918934654e-13,8.425347285999269e-13,-1.3893204639610874e-13,4.901442715772605e-13,5.767238787611317e-13,-9.388747735560773e-14
"(0, 0, 0, 0, 0, 0, 0, 1, 0)",X,-1.546967887989001e-07,-7.55034208815485e-09,-1.546073525699561e-07,-1.5472954752147126e-07,-1.1267478706431515e-11,-1.5471199757965493e-07,-1.7249412310217123e-09,-0.03665041814836478,-2.3894120312762322e-11
"(0, 0, 0, 0, 0, 2, 0, 1, 0)",O,1.1503531130568305e-09,-1.2937579628434667e-07,-5.747351551471663e-11,8.935848693656314e-10,3.0941847260702116e-06,-0.09426120418582223,-1.547409396958172e-07,-19.96730850535013,3.0942798276193636e-06
"(0, 0, 1, 0, 0, 2, 0, 1, 0)",X,-6.165214098748186e-05,-6.063814881020219e-05,-0.08638474898643714,-6.173041261924955e-05,1.153797885498169e-09,-19.961987406192286,-5.996823302260928e-05,-0.037403701913088644,-6.140869150114754e-05
"(0, 0, 1, 0, 2, 2, 0, 1, 0)",O,-0.024804636074993346,-0.024777568574940352,-19.952187006519974,-2.310524969207243e-08,-0.031427756533170204,-0.031881873668608326,-0.024775440432204757,-0.026290134976333035,-0.024773652915415306
"(1, 0, 1, 0, 2, 2, 0, 1, 0)",X,0.06676966325876754,-6.142255484187395e-05,0.04990290627254418,0.4960930162526721,0.0934048908812734,-0.05022698140946347,-0.024741393966723722,0.0964877425341118,-0.024770658435619198
"(1, 0, 1, 2, 2, 2, 0, 1, 0)",O,0.0781381296374418,0.011175344909014756,-0.08251269655721503,0.0450039171042565,-0.0529756872215813,-0.02166789444229271,-0.01705080884290089,0.02872692688027781,0.07254538883869499
"(2, 0, 0, 0, 0, 0, 0, 1, 0)",O,-0.04559375434707347,2.701636082323746e-07,3.816131376597348e-07,-1.3830474970142765e-06,4.185719388184003e-09,-2.0073539404937107e-07,3.093938642610086e-06,-0.06198106050670489,-4.255507388514946e-09
"(2, 0, 1, 0, 0, 0, 0, 1, 0)",X,-0.024201739157555482,-6.178014451244179e-05,-19.979881371206428,-6.180550483559752e-05,-6.192774284518721e-05,-6.170643261703e-05,-5.8000658868577054e-06,-0.09134952333369167,-6.186843682500425e-05
"(2, 0, 1, 0, 2, 0, 0, 1, 0)",O,-19.987992271706347,-0.024853656984613233,-19.991149888200574,-0.024762515681748764,-0.06098214392367177,-0.024805830986805354,-0.02478918697529235,-0.0707062848101512,0.001238558820099164
