,,0,1,2,3,4,5,6,7,8
"(0, 0, 0, 0, 0, 0, 0, 0, 0)",O,-4.983518929132183e-08,-4.364320913956425e-08,-3.57900265878e-08,-4.364392999136426e-08,-2.142280479287935e-08,-4.2261118609337524e-08,-3.579002699179649e-08,-4.364451114503021e-08,-4.9590324048767386e-08
"(0, 0, 0, 0, 0, 0, 1, 0, 0)",X,-0.00015419436753893594,-0.00015379734519830628,-0.0001550918133019003,-0.00015436996305222365,1.789501346581416e-07,-0.00015405345041899043,-19.973826627437965,-0.0001538960165003269,-0.00015397327924902628
"(0, 0, 0, 2, 0, 0, 1, 0, 0)",O,-1.2458790890580633e-06,-1.1971800637716122e-06,-3.8154890426650454e-07,-0.018081780943976722,0.000771850708227076,-3.8143449049659374e-07,-19.976032553679467,0.000768821790402192,0.0007694523132184859
"(0, 1, 0, 2, 0, 0, 1, 0, 0)",X,-0.003739839765066243,-0.026769977895493666,-0.0035917019446841856,-0.008482945194313876,5.985854063567684e-06,-0.003729818843637912,-19.971317809956552,-0.003608513278862114,-0.0036931977272767367
"(0, 1, 2, 2, 0, 0, 1, 0, 0)",O,-0.004156999538516044,-19.97860576707768,-19.951201447750446,-0.042690492637834754,-0.0009228028120394076,-0.0001086556558272774,-19.9628119791163,0.018607147947643544,0.0023698277543574334
"(0, 1, 2, 2, 0, 0, 1, 1, 0)",X,-0.09648636400346466,-0.09733771068488972,-20.000422885887673,-19.957430943901453,-0.09508842440629597,-0.09649086931638749,-19.952871333060326,-20.04423882052363,-0.09474974549335992
"(0, 1, 2, 2, 2, 0, 1, 1, 0)",O,-0.0954483572959695,0.06571862665047776,-0.04117409325149555,-0.035238236343997836,-0.08988633727537326,-0.0007288567986858043,0.042016843467451104,-0.027511074163955443,0.48000812114174873
"(0, 1, 2, 2, 2, 1, 1, 1, 0)",X,-0.09620654279837777,-19.965823907578635,-0.03803242771990037,-19.96778093633387,-0.05246915159098034,-19.958264841638826,-19.954862698771667,-0.0514826816299532,0.0037410895959355136
"(2, 1, 2, 2, 2, 1, 1, 1, 0)",O,-0.09314824726251332,0.04741825328943333,0.03638220413274823,0.024903177185381403,0.014244081512421555,-0.07218064454791623,0.09122022122119253,0.058712644810096914,0.4810327349664063
"(2, 1, 2, 2, 2, 1, 1, 1, 1)",X,-0.05043730774917424,0.09483632516796844,0.07530922757820885,0.08445917211573004,-0.021571430754679016,-0.007593848234037498,0.061277585390298345,0.02794822595915772,0.043071872928712424
