,,0,1,2,3,4,5,6,7,8
"(0, 0, 0, 0, 0, 0, 0, 0, 0)",O,-1.8178449389518668e-13,-1.7427077923979672e-13,-1.5708127567994724e-13,-1.8777691024043236e-13,-1.2298001525564922e-13,-1.573026609128692e-13,-1.8018442468434893e-13,-1.8018442468434893e-13,-1.8178449389518704e-13
"(0, 0, 0, 0, 0, 1, 0, 0, 0)",X,-1.5471678137038344e-07,-1.5491066560003568e-07,-9.033084403972265e-09,-9.240900711800914e-12,-9.776364193463641e-11,-19.99161633764167,-1.5475764915295368e-07,-1.5505751903442084e-07,2.459600305112987e-12
"(0, 2, 0, 0, 0, 1, 0, 0, 0)",O,-5.270477103751615e-07,-19.997734204992156,-1.974794504170893e-07,-1.5485542894007688e-07,3.098213312003651e-06,-19.97399677335001,-2.9127939959341653e-06,-2.880670238574362e-07,-6.010453212666886e-08
"(0, 2, 0, 0, 0, 1, 1, 0, 0)",X,1.5200564305903616e-05,-19.972249370268827,1.539107221014769e-05,-0.005592227441898846,1.705213067157567e-05,-19.9705831046929,-19.98373446611077,-0.000691267124609892,-3.464366969750408e-05
"(0, 2, 2, 0, 0, 1, 1, 0, 0)",O,-6.969081337124546e-08,-19.94851374919684,-0.06920096994089382,-0.02177469753236005,-0.02222967536788868,-19.97172679987994,-19.971001571304498,-0.019458420730032885,-0.017984495677434598
"(0, 2, 2, 1, 0, 1, 1, 0, 0)",X,0.49246763415895256,-19.970260586163693,-19.973011868772357,-0.02041042090484871,0.0013385846006195527,-19.978234828724872,-0.09278412419484228,0.006647424840786658,0.027455985679482986
"(0, 2, 2, 1, 0, 1, 1, 2, 0)",O,0.40579841658856586,0.03849458641160389,-0.023655643796359843,-0.0203589314975611,-0.06567356019208484,0.01801928872522926,-0.09919499972257564,-0.07531124314929466,-0.03968594818046408
"(0, 2, 2, 1, 0, 1, 1, 2, 1)",X,0.33443947288831244,-0.041739308925283373,-0.028208733524560173,-0.03288067347545069,0.4963363891985002,-0.09665149377074762,0.01690554044688386,-19.945631785231154,-0.09698051353675341
"(0, 2, 2, 1, 2, 1, 1, 2, 1)",O,0.0049510507266729425,0.05576473781501165,0.06842792499964648,0.02824073296609489,0.018611998852058137,0.05629505030247822,0.07018594465844327,0.07241693477135827,-0.04456930453900674
"(0, 0, 0, 0, 1, 0, 0, 0, 0)",X,9.17850625093494e-13,-1.5491066560031113e-07,9.17850625093494e-13,-1.5493440047632823e-07,-19.98851534286335,-1.550721107839739e-07,2.4596003051129842e-12,-1.5505751903442086e-07,2.4596003051129834e-12
"(0, 0, 0, 2, 1, 0, 0, 0, 0)",O,3.0944668379509754e-06,3.0943438498658636e-06,3.0944668332390188e-06,-19.99652357855751,-19.948442074561918,-6.536405514685678e-11,2.8595738802688476e-06,3.0963144460237317e-06,3.0986880095265645e-06
"(0, 0, 0, 2, 1, 0, 1, 0, 0)",X,-0.02479160020590616,-0.024708686616731028,-5.827233619592776e-05,-0.020548080736691454,-0.05135026158971401,-0.024386892051843984,-0.04335762967937123,-0.025061904693722832,-0.024685631955863513
"(0, 0, 0, 2, 1, 2, 1, 0, 0)",O,0.003947416359926617,0.0011781156919383558,0.49618501002863435,-0.029754512487441057,-19.94656785918268,-19.95827876875707,0.059303053503291736,-0.013245073355498474,5.210680188048921e-05
"(0, 1, 0, 2, 1, 2, 1, 0, 0)",X,-0.006208397065646555,-0.02526530659728754,-0.013667405896671005,-19.984323443419072,-19.97119822440654,-0.050296827532260883,-19.950700346737936,-0.019714289747367244,-0.0009183048840282794
"(0, 1, 0, 2, 1, 2, 1, 2, 0)",O,-0.04973934019422442,-19.960890635934888,0.4949619758419689,-0.02804628222347856,0.010011208881712141,-0.08142211089627793,-19.97464278087971,-19.972007997321185,-0.025811819233851563
"(0, 1, 1, 2, 1, 2, 1, 2, 0)",X,0.010810701163227646,-0.0799060232830045,0.07241622108693044,-0.06555830065416193,0.06997658572640506,-0.016119207278341124,0.06768401739395985,0.09817264992064553,0.0891569993311154
"(0, 1, 0, 0, 0, 0, 0, 0, 0)",X,8.276784435705382e-13,-19.98935196507097,9.178504460452223e-13,-1.547774460644639e-07,3.1416255135989467e-12,-1.548466153052523e-07,-1.5471967087496015e-07,3.4854155847959334e-12,3.2683074709570017e-12
"(0, 1, 2, 0, 0, 0, 0, 0, 0)",O,-1.5474921891473105e-07,-0.03953911698516217,-0.06252548353783097,-9.564516590642563e-07,-1.835701097217098e-11,-2.3355597676880442e-07,-3.5371950391227364e-06,-1.5500052801680525e-07,-1.533213042749759e-07
"(0, 1, 2, 1, 0, 0, 0, 0, 0)",X,5.279197381641535e-06,-19.960537622040462,-19.97523816772578,-0.053436893032037074,-0.0007633354037921467,7.835363364339315e-06,-3.298906783617853e-05,-0.01285857787205508,5.1433231712007695e-06
"(0, 1, 2, 1, 0, 0, 2, 0, 0)",O,-0.035250746739643214,-19.952746106756084,-19.987638257799674,-0.07970689496149425,0.0012332910242272553,-0.05401806033033926,-19.98050751327379,-0.03419578516427671,-0.022900267226119014
"(0, 1, 2, 1, 1, 0, 2, 0, 0)",X,-0.026153366211512017,-19.992501564278708,-19.990623600624136,-20.000851497957257,-20.0026954543443,-0.024782148288839664,-0.05720323437112116,-0.025498299160480832,-0.02480420396877379
"(0, 1, 2, 1, 1, 2, 2, 0, 0)",O,-0.023870707222534163,-0.01685886764383196,-0.05848327365406421,0.0410571599137817,0.01547977409512788,-0.06827480903365266,-0.01651164319871072,0.49564515509396584,0.0021297496849736162
"(1, 1, 2, 1, 1, 2, 2, 0, 0)",X,-19.969686160473128,0.004489510857836138,-0.0577921753922632,-0.032391774238805335,-0.09940343174938898,0.002368584656939038,-0.01654654827407638,-0.04407108045489005,0.49647810748311205
"(1, 1, 2, 1, 1, 2, 2, 0, 2)",O,0.010914478094555924,0.06102126894462398,0.0689173899486212,0.004050184081775529,0.024887020043556293,0.033337590293063296,-0.04120727352897113,-0.0019956554086509176,0.0004321943163431846
"(1, 1, 2, 0, 0, 0, 0, 0, 0)",X,-0.07045589355314606,-0.08989427362833276,-19.98883544800254,-5.794427723729423e-05,-1.2864988690425263e-05,3.094984378312707e-06,-6.188786837343594e-05,-1.5964837694709103e-06,3.058828820213492e-06
"(1, 1, 2, 0, 0, 0, 2, 0, 0)",O,-0.03489333455267152,-19.972112819775045,-0.02998799436861191,-0.024758170149783924,0.001237757368170769,-0.02459635172479649,-0.03922673939068005,-0.024800435132317833,-0.02484703008582307
