,,0,1,2,3,4,5,6,7,8
"(0, 0, 0, 0, 0, 0, 0, 0, 0)",O,-1.9404469833026281e-13,-1.938631827964959e-13,-1.8207938345490212e-13,-1.626175965432326e-13,-1.4616957957037956e-13,-1.9404469833026286e-13,-1.7844755741407513e-13,-6.704859523495161e-10,-1.586811553374863e-13
"(0, 0, 0, 0, 0, 1, 0, 0, 0)",X,-1.5484376016585192e-07,-1.0515138626261336e-07,2.923391591407592e-12,-6.6225033523242655e-09,3.880893966605256e-12,-19.988215800488007,-1.376679020229487e-08,-1.5482883638142233e-07,2.9233915898177244e-12
"(2, 0, 0, 0, 0, 1, 0, 0, 0)",O,-0.08578086730050338,-5.621978407799644e-05,3.0955433510595825e-06,1.3208311197391405e-08,-4.751505879694227e-06,-0.0612160511338489,-3.873038915298667e-05,-4.552656964989907e-05,1.554735997948106e-06
"(2, 1, 0, 0, 0, 1, 0, 0, 0)",X,-19.99417383796341,-19.96107198076373,-0.000530754327970851,0.0005529887779039198,-0.011395935347881855,-19.96494784296061,-0.03820090525578888,-0.006441383887181821,9.70782531368226e-05
"(2, 1, 2, 0, 0, 1, 0, 0, 0)",O,-0.05769409064238722,0.0004454331306574105,-19.948236555608755,0.004894895382396345,-0.00469895126106504,-19.95283940387914,-0.02470411402244177,0.00848734105168936,0.005161135445092505
"(2, 1, 2, 0, 1, 1, 0, 0, 0)",X,-0.08273711500093145,-0.07409342681730327,-19.942705176652588,-0.013748105375061197,-0.09518739145880872,-19.987405221047236,-0.013054083711306824,-0.010899945118326556,-0.03152417258081008
"(2, 1, 2, 0, 1, 1, 0, 2, 0)",O,-0.07669607016777268,-0.061265090419129135,-19.94860963616017,0.4950611840721447,-19.968518038131123,-0.05908317776307553,-0.03698289396029386,-0.06403316795887401,-2.2091705500337514e-05
"(2, 1, 2, 0, 1, 1, 0, 2, 1)",X,-0.04728262994141719,-0.08037473944090152,-19.97898937467249,8.34587329322811e-05,-0.004526382038722757,-0.012684953658625098,-0.02479392002272677,-0.05523548910355616,-0.010615550524981934
"(2, 1, 2, 0, 1, 1, 2, 2, 1)",O,0.0009791060224572518,-19.983941186654633,-19.942161379510747,0.4958784004566516,-0.06265096321013594,-0.04224008369677504,-0.021142092510900753,-19.964920531669694,-0.04918505789836985
"(2, 1, 2, 1, 1, 1, 2, 2, 1)",X,-0.07385529933097759,0.06605545274614819,0.08243199086696751,0.04024282655079628,-0.04350181547310599,-0.0810523563447027,0.012077155480624963,0.030138213763101274,-0.016025879029697918
"(0, 0, 1, 0, 0, 0, 0, 0, 0)",X,-1.547379760659071e-07,-6.195077646393837e-05,-0.09023238163477527,-5.5157923460087265e-09,-6.374196013416865e-10,-1.5493637789047173e-07,3.641587669098042e-12,-1.6240946161631318e-07,-1.5509823485775575e-07
"(2, 0, 1, 0, 0, 0, 0, 0, 0)",O,-19.990286908620945,-5.666472232050485e-05,-0.04862627229928791,-9.464932093537712e-09,-3.5808351495511686e-06,3.083192488719612e-06,3.0947595213181414e-06,-1.3494225168124553e-06,-1.2362113704779545e-06
"(2, 0, 1, 1, 0, 0, 0, 0, 0)",X,-19.9759584250075,-2.5745598133309966e-05,-19.974466214353374,-19.99762660413494,9.437162005458094e-08,1.300940772350506e-09,-0.0001056141573838637,-4.539014892725897e-05,-6.191086698223299e-05
"(2, 0, 1, 1, 0, 0, 0, 0, 2)",O,-19.97923288875552,-0.024289249440754834,-19.94316632649277,-19.970906164208614,0.001238217340423713,-0.03256329865267032,-0.022547581434482093,-0.01769132995368399,-19.996798810850866
"(2, 0, 1, 1, 0, 0, 0, 1, 2)",X,-19.993264333806554,-0.009314253466434205,-0.06666734762195822,-19.942872474534635,0.4897428798084611,-0.0523168033468662,-0.0003014105647945469,-19.971365188968974,-19.965218541027717
"(2, 0, 1, 1, 0, 0, 2, 1, 2)",O,-19.9962797589248,-0.01496670814294666,-0.009457923200467344,-19.988010137620495,0.0013110156058453953,-0.0021588344288977794,-19.98112357389808,-0.09241297347331988,-0.023136650266268294
"(2, 0, 1, 1, 0, 1, 2, 1, 2)",X,-0.09995720539215686,-0.024755004514791817,-19.995790981537237,-20.009827758883915,0.49548204976638655,-19.97413521258639,-0.09488220952875073,-19.948042907293466,-0.04060864340988766
"(2, 2, 1, 1, 0, 1, 2, 1, 2)",O,0.00043851711404055416,0.03996964769961203,-19.9534635447219,-19.942650700595266,0.4951035263419348,0.021762658962962617,-0.05683221256198134,-19.956777659915435,-0.06176778981811759
"(2, 2, 1, 1, 1, 1, 2, 1, 2)",X,0.05183193343134207,-0.012489822094654407,-0.06174165088761794,0.09792947316105655,-0.07249530964480787,0.03244056537829648,0.009806476069159603,-0.05864405668772102,-0.062131215246477335
"(0, 0, 0, 0, 0, 0, 1, 0, 0)",X,-1.636379468577467e-07,-6.047149491620938e-05,-1.5472002503313798e-07,-1.5481605813223317e-07,3.568951148281501e-12,-1.5476065485162538e-07,-19.968354133333015,-4.9144852059639264e-05,-1.5509440887755104e-07
"(0, 0, 0, 0, 2, 0, 1, 0, 0)",O,-1.338571737092587e-10,-1.3308217097770938e-10,-2.97008061005515e-05,-7.137902296563001e-11,-19.95283411195174,-1.3568240515086347e-07,-0.0789144531727747,-6.05161431365917e-05,-1.007680965110312e-10
"(0, 0, 0, 0, 2, 0, 1, 0, 1)",X,-0.024901185738362374,-0.024714952850119612,-0.024741969619890117,-0.024756767745744104,-0.06450223591437215,-0.024704777135852517,-19.97887521092895,1.306777996267957e-09,-19.985425532801855
"(2, 0, 0, 0, 2, 0, 1, 0, 1)",O,-19.97780367724415,0.005614484225700579,0.0017166843759528544,0.006676207070797328,-19.959386318667967,-0.04613627680809765,-0.03559675772515006,0.4980895525314183,-0.0032343983341676374
"(2, 1, 0, 0, 2, 0, 1, 0, 1)",X,-19.99760008149204,-0.04080511320257494,-0.024789676623819444,-0.02475102947118721,-19.98610583303304,-0.024759025272809532,-20.004390194725385,5.203763089383443e-07,-19.95082923760175
"(2, 1, 2, 0, 2, 0, 1, 0, 1)",O,-0.09422124419717788,0.023949126718704597,0.031429308472399525,0.0027737616040487507,-0.04048328807749657,0.04460668604017341,0.047664714509631056,0.49579355082448995,-0.03178664936577098
"(2, 1, 2, 1, 2, 0, 1, 0, 1)",X,-19.976475706904644,-0.05779813570420045,-19.95949747371632,-19.988975304619494,-0.025879651548693525,-0.02484260934969046,-19.995523052088558,0.00022841287349001585,-0.09654563716885456
"(2, 1, 2, 1, 2, 0, 1, 2, 1)",O,-19.94768871582407,-19.945508236929143,-0.04989000710896785,-19.989800782725986,-0.05675621068539538,-0.004568257469800316,-0.014146347817713095,-0.05001399568323657,-19.960503362965024
"(2, 1, 2, 1, 2, 1, 1, 2, 1)",X,0.07283060757641899,0.08352079620268174,-0.08381793818345462,0.06112396192470468,0.07463631473206703,-0.05280158937478823,-0.07911904076503687,0.06232531336855682,0.09136514939600629
"(0, 0, 1, 0, 0, 0, 2, 0, 0)",O,-8.986551726293728e-09,-1.547544796309278e-07,-19.95953033895954,-1.8882123462894155e-07,-7.28317533819608e-11,-1.4639215076507753e-07,-0.08365935072382243,-1.0356092286856145e-08,-1.416645609934053e-07
"(0, 1, 1, 0, 0, 0, 2, 0, 0)",X,3.095089264223511e-06,-19.992695746625902,-19.96018333366378,-0.023981502636980824,-0.023339949101175102,-0.0006324997149710011,-19.99751724300066,-2.0594696668985324e-05,-0.020689440598226506
"(2, 1, 1, 0, 0, 0, 2, 0, 0)",O,-0.03637704873076289,-19.964994255550852,-19.963638926722105,-6.190178528447021e-05,-0.023837618863453907,-0.022723279250267275,-19.953990518227968,-0.02305012898103873,-0.0231283076056628
"(2, 1, 1, 1, 0, 0, 2, 0, 0)",X,-0.07261970715545825,-0.0891794974316015,-19.99900312151349,-19.969971393044975,0.00034751359560370945,-3.0292200439615732e-05,-0.039647645128309254,-8.040508478288782e-06,0.001238035705689404
"(2, 1, 1, 1, 0, 2, 2, 0, 0)",O,-0.017964662189912703,-19.962174299755993,-0.0497858121160669,-0.07606134359613555,1.212465869135039e-05,-0.022584888403798548,-19.951242192929797,-0.00038464559852533766,-0.017047584041313332
"(2, 1, 1, 1, 0, 2, 2, 1, 0)",X,-0.09373668284625264,-19.95673880640557,-0.03102927784244694,-19.954639456941752,0.00016173729346173586,-0.0864472792801005,-19.972725881081004,-19.99727071654305,-0.027367819631211508
"(2, 1, 1, 1, 0, 2, 2, 1, 2)",O,0.010322223359540542,0.015198814573199798,-0.007069361028661916,-19.9476043440482,0.49518379382412797,-0.019293300201438962,0.08433569551076522,0.003726155262963937,-0.018494566251373842
"(2, 1, 1, 1, 1, 2, 2, 1, 2)",X,0.09632412351744188,-0.07628614000783827,-0.03464522973507499,-0.0288096754207154,-0.031983763089384776,-0.07073761769173191,0.04631201447735073,0.07337277694995872,0.005386119956732882
"(0, 2, 0, 0, 0, 1, 0, 0, 0)",O,-0.016909160098457453,-0.08090074730102877,2.253028926464067e-06,-9.28503250726232e-06,1.4369398707610834e-06,-19.959297013428298,-9.879381260050917e-05,1.5121733075610216e-06,-0.0029802534511878817
"(0, 2, 0, 1, 0, 1, 0, 0, 0)",X,-0.03608252797166467,-0.09385980902592,-0.030296393749164822,-0.07082078537398127,9.983406564166602e-05,-0.03608224331510275,-0.010035511002575043,-0.031245884277670055,-0.029011636451137093
"(0, 2, 0, 1, 0, 1, 2, 0, 0)",O,-0.054131475868617135,0.09688939496457236,0.07527602319800505,0.037381798224369656,0.4695215910196324,-0.01871666709876027,0.06581859236218243,0.004903213731575503,-0.06976068113628756
"(0, 2, 0, 1, 1, 1, 2, 0, 0)",X,-0.09350103338933285,0.05838978311550033,-0.032345424372603376,0.06335941940144882,0.03266378056795505,0.0317187273372265,-0.033113750918557616,-0.08814353744900222,-0.08303563659656846
"(1, 0, 0, 0, 0, 0, 0, 0, 0)",X,-19.948207296504364,-1.5490921313035824e-07,-1.5507980909832512e-07,-3.049073331895779e-07,3.880893966605256e-12,-1.5471375209803564e-07,-1.547528372180321e-07,-2.2784782682550075e-05,-1.825547663507045e-07
"(1, 0, 0, 0, 0, 2, 0, 0, 0)",O,-0.08538896861357535,-1.5292146356319923e-07,3.0942750476391854e-06,-1.5459094907193084e-07,-1.4199623081528187e-07,-0.01623189754207202,-5.8385741777508535e-05,-6.031851482956678e-05,-5.4836465528643136e-05
"(1, 0, 0, 0, 0, 2, 0, 1, 0)",X,-19.979710388551975,-0.0005269278931032532,-0.00016039510614814648,0.0012292481640392586,1.5362439232231456e-09,-19.950551287792738,-2.2828475192199762e-06,-19.957778870348545,-1.2757316754741373e-07
"(1, 0, 0, 0, 2, 2, 0, 1, 0)",O,-19.97269522653731,-0.024767992059392212,-0.02360020307166604,-3.0724878464462906e-08,-19.949962959789442,-0.04757023362975521,-0.02471532169929148,-19.95774355650723,-0.02479013409071932
"(1, 0, 0, 1, 2, 2, 0, 1, 0)",X,-19.94201409972647,-0.024637707981495918,-0.024792512076321903,-19.944885037067486,-19.994120489827665,-19.986442180927998,6.144975692892581e-07,-19.962064525223038,-0.024782953198482213
"(1, 0, 0, 1, 2, 2, 2, 1, 0)",O,-0.05432682002371125,-0.02430973980656782,-1.2289951385785162e-05,-0.052654114505852646,-0.003214735195348137,-0.08471922209140798,-19.956564855287024,-19.95861962390459,-0.024752530929245738
"(1, 0, 1, 1, 2, 2, 2, 1, 0)",X,-19.995338732692517,0.0002457990277157032,-19.951278004253943,-0.03753153101786884,-0.029368825224615397,-19.959633072981152,-19.985467089864926,-0.06381767194986673,-0.024742941368492477
"(1, 0, 1, 1, 2, 2, 2, 1, 2)",O,-20.040236419896964,0.4953045694713154,-20.0415210043368,-19.97747637753467,-20.008109926490924,-19.995544225066002,-20.005832015508584,-20.00145217075068,-19.9450226940359
"(1, 1, 1, 1, 2, 2, 2, 1, 2)",X,-0.028056146391285536,0.07285516703264644,-0.07397843911170321,-0.052098766676017386,0.0939086105736939,0.07445478292380947,0.017641993292989364,-0.032072586577358814,0.023755487064248376
"(0, 0, 0, 1, 0, 0, 0, 0, 0)",X,-4.270500864941453e-09,-1.5026832613251817e-07,-1.5507980909832515e-07,-19.957638870834412,-1.5414100405959437e-07,3.2523519308646523e-12,-1.3118706550848838e-07,-1.5468765631144987e-07,-1.551040853663631e-07
"(0, 0, 0, 1, 0, 0, 2, 0, 0)",O,-3.990746755357272e-05,-0.0006352812244670392,-0.00029792107685250557,-0.09646806480077537,1.276027776665827e-06,-0.002620476733498496,-0.05949115579931128,-0.0016542391518070206,2.7585878565731988e-06
"(0, 1, 0, 1, 0, 0, 2, 0, 0)",X,-0.01796756016455403,-0.012819785896399122,0.0019518840436389393,-0.01658899160293989,-0.08358427950745898,-0.031740369338390154,-0.07877011865914846,0.002067784485645559,0.001310122047543631
"(0, 1, 0, 1, 0, 0, 2, 0, 2)",O,-0.021571861904262378,-19.99852905332904,-0.02121107339648466,-0.0573238901747061,-0.046951528997506424,-0.02136322588396699,-0.061750267108911495,-0.026667400874105154,-19.95453169668123
"(0, 1, 0, 1, 0, 1, 2, 0, 2)",X,-0.08619175185538974,0.0037970387494891122,0.007246425885062753,0.018605422470507588,-0.031578093289827414,-19.978801101170006,-0.03190304144902137,0.4823257496031334,-19.950845138514794
"(0, 1, 2, 1, 0, 1, 2, 0, 2)",O,0.027980159529617812,-0.060870709972641816,-0.04068845135393191,0.012761535588129092,0.21841326347718576,-19.962156909448566,-19.975557568294462,0.026787636008849314,-0.0032463476792852913
"(0, 1, 2, 1, 0, 1, 2, 1, 2)",X,-0.03138047048858321,-19.958501020979405,-0.04521753659916801,-20.01546048362692,-0.06849799554088168,-0.06684495230650989,-0.06841399595841542,-19.959117979883057,-0.08299290139354065
"(2, 1, 2, 1, 0, 1, 2, 1, 2)",O,-19.977444976504067,-0.011785909231991784,0.01986333108443765,-0.06092918987657088,0.4902571026129592,-19.96499656006325,-0.08053469291280153,-0.08903977512471065,-19.981248214264856
"(2, 1, 2, 1, 1, 1, 2, 1, 2)",X,0.09972765487024751,0.041656373894666726,-0.08259851372524905,0.06267222465478564,0.09039365359576554,-0.07282411788523704,-0.06354380494666707,-0.0870580591678225,0.09526663700981558
"(2, 0, 0, 0, 0, 0, 1, 0, 0)",O,-0.05297775149047839,-0.000426379969884947,-5.456427336520153e-05,-5.584898065451979e-08,2.5705837306541386e-06,-5.1397359346078416e-05,-19.985981141900442,2.867613273497419e-06,3.093957315547228e-06
"(2, 0, 0, 1, 0, 0, 1, 0, 0)",X,-0.09814787735309796,-0.00013640742070762746,-0.00021784455156824417,-19.99632484838766,-0.00047586141967897305,1.3009727396774024e-09,-19.955251228253417,-2.4709147924596058e-05,-8.578989545213634e-05
"(2, 0, 0, 1, 0, 0, 1, 2, 0)",O,-0.01716295205428961,-2.8551609186251978e-08,-6.163311563134978e-05,-19.95508751684862,0.001237501250491599,-6.191307589443292e-05,-19.97791464747367,-0.036498149269542826,-6.192303658888559e-05
"(2, 0, 0, 1, 0, 1, 1, 2, 0)",X,-0.03645972864012481,-0.020552752929152665,-0.01748726906090979,-19.959013157448254,0.0012382637363556783,-0.09342886771275719,-19.970955772737046,-0.015232943653396447,-0.02748491953747155
