,won,lost,draw
0,349,526,125
1,429,431,140
2,465,394,141
3,482,374,144
4,522,316,162
5,531,294,175
6,495,308,197
7,695,135,170
8,707,125,168
9,674,113,213
10,701,129,170
11,752,89,159
12,757,95,148
13,826,70,104
14,777,60,163
15,778,70,152
16,824,66,110
17,826,55,119
18,851,29,120
19,873,16,111
20,884,22,94
21,820,19,161
22,861,12,127
23,835,17,148
24,847,26,127
25,775,14,211
26,849,5,146
27,819,8,173
28,863,0,137
29,872,1,127
30,882,2,116
31,867,0,133
32,862,0,138
33,869,0,131
34,863,0,137
35,876,0,124
36,858,0,142
37,860,0,140
38,849,0,151
39,859,0,141
40,857,0,143
41,860,0,140
42,868,0,132
43,851,0,149
44,837,0,163
45,857,0,143
46,853,0,147
47,876,0,124
48,870,0,130
49,839,1,160
50,880,2,118
51,877,2,121
52,887,4,109
53,864,1,135
54,871,0,129
55,872,0,128
56,900,1,99
57,882,0,118
58,888,2,110
59,845,0,155
60,855,2,143
61,886,1,113
62,855,0,145
63,854,0,146
64,887,0,113
65,901,1,98
66,899,2,99
67,898,2,100
68,907,0,93
69,890,0,110
70,898,0,102
71,901,0,99
72,902,0,98
73,887,0,113
74,899,0,101
75,901,0,99
76,884,0,116
77,898,0,102
78,881,0,119
79,902,0,98
80,906,0,94
81,895,0,105
82,900,0,100
83,904,0,96
84,909,0,91
85,897,0,103
86,901,0,99
87,891,0,109
88,893,0,107
89,893,0,107
90,879,0,121
91,879,0,121
92,898,0,102
93,900,0,100
94,888,0,112
95,875,0,125
96,891,0,109
97,882,0,118
98,902,0,98
99,896,0,104
