,won,lost,draw
0,761,150,89
1,822,135,43
2,640,209,151
3,711,174,115
4,836,112,52
5,690,145,165
6,871,36,93
7,919,39,42
8,941,26,33
9,945,23,32
10,966,9,25
11,970,13,17
12,952,26,22
13,957,30,13
14,949,31,20
15,967,23,10
16,975,18,7
17,960,28,12
18,985,5,10
19,953,23,24
20,952,23,25
21,950,32,18
22,970,14,16
23,990,0,10
24,934,53,13
25,982,0,18
26,940,36,24
27,989,0,11
28,993,0,7
29,979,2,19
30,968,7,25
31,983,0,17
32,986,0,14
33,983,3,14
34,989,0,11
35,984,5,11
36,982,2,16
37,961,11,28
38,977,3,20
39,969,7,24
40,980,3,17
41,983,0,17
42,986,0,14
43,984,8,8
44,990,2,8
45,983,7,10
46,971,7,22
47,975,3,22
48,966,11,23
49,984,2,14
50,973,6,21
51,985,5,10
52,985,5,10
53,996,0,4
54,995,0,5
55,996,0,4
56,996,0,4
57,996,0,4
58,982,9,9
59,980,6,14
60,989,4,7
61,983,7,10
62,996,0,4
63,999,0,1
64,993,0,7
65,997,0,3
66,990,0,10
67,995,0,5
68,996,0,4
69,993,0,7
70,997,0,3
71,995,0,5
72,995,0,5
73,994,0,6
74,994,0,6
75,989,0,11
76,998,0,2
77,995,0,5
78,994,0,6
79,994,0,6
80,996,0,4
81,993,0,7
82,998,0,2
83,993,0,7
84,987,0,13
85,978,0,22
86,985,0,15
87,990,0,10
88,987,0,13
89,983,0,17
90,981,0,19
91,994,0,6
92,995,0,5
93,995,0,5
94,987,0,13
95,989,0,11
96,996,0,4
97,986,0,14
98,990,0,10
99,995,0,5
