,won,lost,draw
0,475,377,148
1,764,151,85
2,643,230,127
3,705,222,73
4,922,42,36
5,769,147,84
6,902,65,33
7,791,137,72
8,755,145,100
9,939,30,31
10,838,104,58
11,939,40,21
12,941,39,20
13,876,79,45
14,949,36,15
15,805,111,84
16,967,13,20
17,780,145,75
18,857,55,88
19,973,6,21
20,989,0,11
21,970,19,11
22,964,18,18
23,971,12,17
24,985,11,4
25,940,31,29
26,926,37,37
27,948,22,30
28,895,57,48
29,979,0,21
30,917,32,51
31,976,0,24
32,986,4,10
33,977,0,23
34,982,4,14
35,983,2,15
36,979,0,21
37,967,0,33
38,972,8,20
39,988,0,12
40,972,0,28
41,988,6,6
42,930,25,45
43,988,5,7
44,989,7,4
45,991,0,9
46,985,0,15
47,989,0,11
48,997,0,3
49,987,0,13
50,995,0,5
51,988,0,12
52,986,7,7
53,991,0,9
54,991,0,9
55,988,0,12
56,959,14,27
57,957,0,43
58,910,22,68
59,992,0,8
60,996,0,4
61,991,0,9
62,986,0,14
63,992,0,8
64,988,0,12
65,987,0,13
66,998,0,2
67,992,0,8
68,988,0,12
69,991,0,9
70,990,0,10
71,910,6,84
72,921,8,71
73,990,0,10
74,992,0,8
75,992,0,8
76,991,0,9
77,989,0,11
78,981,0,19
79,986,0,14
80,988,0,12
81,986,0,14
82,993,0,7
83,988,4,8
84,990,0,10
85,990,0,10
86,987,0,13
87,991,0,9
88,987,0,13
89,990,0,10
90,981,0,19
91,990,0,10
92,986,0,14
93,984,0,16
94,988,0,12
95,988,0,12
96,987,0,13
97,989,0,11
98,989,0,11
99,990,0,10
