,won,lost,draw
0,373,506,121
1,429,454,117
2,457,454,89
3,448,428,124
4,423,405,172
5,540,373,87
6,546,357,97
7,564,320,116
8,610,290,100
9,579,263,158
10,656,235,109
11,613,261,126
12,524,328,148
13,567,259,174
14,605,261,134
15,588,221,191
16,585,212,203
17,624,216,160
18,563,206,231
19,605,191,204
20,604,199,197
21,640,188,172
22,648,178,174
23,672,141,187
24,666,138,196
25,702,115,183
26,668,171,161
27,675,166,159
28,690,149,161
29,727,127,146
30,701,132,167
31,749,103,148
32,733,136,131
33,785,100,115
34,743,109,148
35,719,144,137
36,746,113,141
37,753,92,155
38,769,68,163
39,776,92,132
40,791,76,133
41,778,76,146
42,798,59,143
43,788,68,144
44,821,63,116
45,783,84,133
46,811,79,110
47,778,90,132
48,823,82,95
49,804,60,136
50,798,74,128
51,801,79,120
52,756,120,124
53,783,87,130
54,801,91,108
55,792,84,124
56,786,66,148
57,799,62,139
58,791,41,168
59,810,52,138
60,843,28,129
61,836,38,126
62,850,30,120
63,858,31,111
64,837,28,135
65,867,22,111
66,842,32,126
67,852,23,125
68,855,22,123
69,848,34,118
70,838,28,134
71,796,42,162
72,801,36,163
73,823,37,140
74,783,49,168
75,797,32,171
76,832,12,156
77,852,15,133
78,854,14,132
79,858,16,126
80,853,15,132
81,853,18,129
82,806,23,171
83,787,26,187
84,828,16,156
85,848,11,141
86,851,10,139
87,872,12,116
88,797,16,187
89,814,23,163
90,825,19,156
91,847,13,140
92,845,5,150
93,847,11,142
94,845,10,145
95,844,6,150
96,862,6,132
97,842,24,134
98,841,21,138
99,826,30,144
