,won,lost,draw
0,575,328,97
1,735,164,101
2,841,118,41
3,792,129,79
4,627,262,111
5,803,139,58
6,641,275,84
7,824,96,80
8,876,72,52
9,904,65,31
10,918,45,37
11,881,85,34
12,890,57,53
13,770,116,114
14,873,70,57
15,879,68,53
16,934,46,20
17,933,44,23
18,902,79,19
19,948,27,25
20,853,70,77
21,912,56,32
22,975,5,20
23,974,19,7
24,967,20,13
25,968,17,15
26,945,28,27
27,937,14,49
28,955,13,32
29,953,3,44
30,959,12,29
31,942,32,26
32,976,16,8
33,947,28,25
34,972,7,21
35,968,15,17
36,932,25,43
37,951,15,34
38,988,2,10
39,971,9,20
40,984,5,11
41,974,6,20
42,970,9,21
43,899,19,82
44,912,13,75
45,944,5,51
46,978,8,14
47,871,31,98
48,917,37,46
49,799,58,143
50,924,20,56
51,974,18,8
52,974,18,8
53,988,8,4
54,990,0,10
55,998,0,2
56,976,0,24
57,975,0,25
58,992,0,8
59,975,0,25
60,982,0,18
61,981,0,19
62,987,0,13
63,941,17,42
64,980,5,15
65,990,3,7
66,981,0,19
67,981,0,19
68,987,0,13
69,984,0,16
70,991,0,9
71,977,0,23
72,977,0,23
73,973,0,27
74,987,0,13
75,981,0,19
76,990,0,10
77,975,0,25
78,970,0,30
79,985,0,15
80,977,0,23
81,977,1,22
82,988,0,12
83,986,0,14
84,990,0,10
85,986,0,14
86,986,0,14
87,986,0,14
88,991,0,9
89,913,7,80
90,987,0,13
91,972,0,28
92,949,0,51
93,931,0,69
94,969,0,31
95,928,0,72
96,950,0,50
97,995,0,5
98,993,0,7
99,990,0,10
