,won,lost,draw
0,618,232,150
1,749,133,118
2,682,203,115
3,655,253,92
4,812,138,50
5,889,66,45
6,781,174,45
7,827,118,55
8,929,52,19
9,956,29,15
10,778,181,41
11,955,25,20
12,858,124,18
13,932,48,20
14,910,76,14
15,908,47,45
16,954,28,18
17,905,56,39
18,929,38,33
19,935,39,26
20,928,38,34
21,943,16,41
22,943,28,29
23,936,20,44
24,928,26,46
25,947,33,20
26,954,33,13
27,947,37,16
28,959,20,21
29,934,31,35
30,919,31,50
31,944,24,32
32,947,25,28
33,960,17,23
34,950,19,31
35,948,25,27
36,972,8,20
37,952,9,39
38,963,6,31
39,975,3,22
40,976,7,17
41,974,3,23
42,964,3,33
43,972,2,26
44,943,5,52
45,949,0,51
46,939,2,59
47,979,7,14
48,995,0,5
49,915,7,78
50,904,11,85
51,927,9,64
52,929,5,66
53,965,2,33
54,969,0,31
55,991,3,6
56,978,0,22
57,965,0,35
58,976,10,14
59,983,0,17
60,986,0,14
61,981,0,19
62,983,0,17
63,989,0,11
64,987,0,13
65,983,0,17
66,988,0,12
67,992,0,8
68,874,15,111
69,865,7,128
70,987,0,13
71,978,0,22
72,981,0,19
73,985,0,15
74,975,0,25
75,988,0,12
76,984,0,16
77,984,0,16
78,915,9,76
79,913,7,80
80,915,5,80
81,982,0,18
82,995,0,5
83,977,0,23
84,987,0,13
85,898,5,97
86,990,0,10
87,964,6,30
88,997,0,3
89,988,0,12
90,983,0,17
91,981,0,19
92,982,0,18
93,983,0,17
94,966,0,34
95,938,0,62
96,972,0,28
97,960,0,40
98,980,0,20
99,980,0,20
