,won,lost,draw
0,314,583,103
1,364,557,79
2,461,436,103
3,451,431,118
4,446,450,104
5,491,424,85
6,497,404,99
7,557,360,83
8,547,353,100
9,525,387,88
10,479,387,134
11,555,351,94
12,541,364,95
13,523,374,103
14,565,350,85
15,576,305,119
16,577,309,114
17,565,305,130
18,645,250,105
19,654,227,119
20,648,253,99
21,649,227,124
22,628,260,112
23,659,234,107
24,713,182,105
25,705,154,141
26,745,153,102
27,663,217,120
28,687,197,116
29,746,160,94
30,678,154,168
31,683,156,161
32,722,160,118
33,718,164,118
34,752,144,104
35,759,115,126
36,818,79,103
37,776,102,122
38,814,74,112
39,835,69,96
40,794,110,96
41,806,91,103
42,816,75,109
43,855,45,100
44,826,45,129
45,831,68,101
46,838,42,120
47,836,28,136
48,845,41,114
49,867,22,111
50,886,12,102
51,862,19,119
52,841,28,131
53,856,20,124
54,853,23,124
55,853,28,119
56,854,19,127
57,838,18,144
58,838,29,133
59,864,33,103
60,877,24,99
61,876,25,99
62,856,21,123
63,862,22,116
64,864,28,108
65,877,17,106
66,883,13,104
67,876,16,108
68,870,13,117
69,869,20,111
70,862,27,111
71,844,18,138
72,852,8,140
73,833,13,154
74,850,12,138
75,850,13,137
76,871,5,124
77,864,7,129
78,863,12,125
79,858,7,135
80,851,15,134
81,862,10,128
82,870,15,115
83,854,13,133
84,865,8,127
85,868,8,124
86,865,5,130
87,866,6,128
88,851,11,138
89,877,7,116
90,842,15,143
91,865,16,119
92,871,5,124
93,868,9,123
94,856,8,136
95,854,13,133
96,870,8,122
97,847,5,148
98,864,5,131
99,856,7,137
