,won,lost,draw
0,334,568,98
1,372,532,96
2,458,458,84
3,466,454,80
4,487,428,85
5,535,379,86
6,493,419,88
7,463,408,129
8,461,462,77
9,463,438,99
10,527,378,95
11,566,330,104
12,561,313,126
13,559,318,123
14,602,289,109
15,508,328,164
16,584,292,124
17,633,251,116
18,623,234,143
19,623,221,156
20,618,202,180
21,705,155,140
22,657,186,157
23,687,166,147
24,716,142,142
25,765,127,108
26,775,123,102
27,719,140,141
28,756,120,124
29,738,115,147
30,758,99,143
31,773,88,139
32,792,93,115
33,804,80,116
34,826,69,105
35,826,74,100
36,788,88,124
37,824,69,107
38,804,65,131
39,824,58,118
40,808,68,124
41,838,63,99
42,855,66,79
43,832,77,91
44,805,66,129
45,801,98,101
46,810,76,114
47,846,68,86
48,800,75,125
49,803,80,117
50,796,75,129
51,841,52,107
52,891,26,83
53,894,24,82
54,904,14,82
55,899,6,95
56,898,10,92
57,876,10,114
58,905,9,86
59,881,8,111
60,879,9,112
61,882,19,99
62,880,12,108
63,875,16,109
64,878,20,102
65,888,18,94
66,877,26,97
67,883,17,100
68,863,15,122
69,863,12,125
70,900,10,90
71,894,10,96
72,905,15,80
73,912,11,77
74,874,14,112
75,894,7,99
76,894,13,93
77,887,17,96
78,886,14,100
79,875,22,103
80,881,19,100
81,886,15,99
82,876,20,104
83,888,17,95
84,887,5,108
85,874,8,118
86,880,7,113
87,873,4,123
88,881,10,109
89,878,9,113
90,861,10,129
91,864,8,128
92,899,6,95
93,867,9,124
94,882,6,112
95,866,11,123
96,878,8,114
97,863,4,133
98,878,5,117
99,866,3,131
