,won,lost,draw
0,329,559,112
1,428,449,123
2,360,517,123
3,394,493,113
4,401,445,154
5,464,427,109
6,482,403,115
7,523,335,142
8,561,297,142
9,585,282,133
10,594,273,133
11,574,321,105
12,621,260,119
13,635,240,125
14,599,275,126
15,605,268,127
16,593,242,165
17,617,224,159
18,612,224,164
19,673,200,127
20,691,176,133
21,662,196,142
22,716,192,92
23,709,188,103
24,734,165,101
25,747,149,104
26,678,171,151
27,709,180,111
28,707,154,139
29,709,169,122
30,717,147,136
31,725,152,123
32,707,180,113
33,748,137,115
34,763,119,118
35,803,88,109
36,747,108,145
37,778,120,102
38,787,118,95
39,796,100,104
40,747,113,140
41,761,83,156
42,779,85,136
43,769,105,126
44,797,73,130
45,808,71,121
46,801,83,116
47,748,119,133
48,740,116,144
49,791,94,115
50,709,126,165
51,721,123,156
52,773,76,151
53,778,80,142
54,737,103,160
55,759,93,148
56,760,102,138
57,779,63,158
58,763,87,150
59,796,77,127
60,761,92,147
61,757,91,152
62,793,88,119
63,813,75,112
64,830,85,85
65,796,91,113
66,761,101,138
67,758,97,145
68,771,87,142
69,735,66,199
70,752,68,180
71,702,84,214
72,715,84,201
73,730,62,208
74,740,60,200
75,844,39,117
76,831,47,122
77,796,47,157
78,810,39,151
79,828,28,144
80,822,31,147
81,834,19,147
82,853,23,124
83,840,32,128
84,826,47,127
85,834,32,134
86,854,32,114
87,872,34,94
88,837,34,129
89,842,38,120
90,856,24,120
91,841,26,133
92,863,18,119
93,862,24,114
94,843,24,133
95,864,20,116
96,828,28,144
97,840,32,128
98,834,27,139
99,828,23,149
