,won,lost,draw
0,733,193,74
1,767,182,51
2,772,143,85
3,817,150,33
4,866,101,33
5,920,34,46
6,924,40,36
7,943,29,28
8,829,132,39
9,923,51,26
10,935,40,25
11,936,43,21
12,943,44,13
13,863,74,63
14,909,58,33
15,964,20,16
16,888,47,65
17,970,2,28
18,966,4,30
19,981,3,16
20,983,3,14
21,984,2,14
22,986,3,11
23,985,5,10
24,992,0,8
25,989,0,11
26,991,0,9
27,993,7,0
28,986,0,14
29,979,10,11
30,988,3,9
31,987,2,11
32,984,6,10
33,991,3,6
34,987,1,12
35,985,1,14
36,986,2,12
37,987,2,11
38,987,1,12
39,992,0,8
40,996,0,4
41,983,0,17
42,973,0,27
43,988,0,12
44,990,0,10
45,990,0,10
46,993,0,7
47,985,3,12
48,980,4,16
49,992,0,8
50,987,1,12
51,989,3,8
52,982,2,16
53,987,5,8
54,992,0,8
55,989,0,11
56,985,0,15
57,982,0,18
58,989,0,11
59,985,0,15
60,985,0,15
61,988,0,12
62,991,0,9
63,990,0,10
64,991,0,9
65,989,0,11
66,986,0,14
67,988,0,12
68,988,0,12
69,990,0,10
70,985,0,15
71,989,0,11
72,992,0,8
73,991,0,9
74,986,0,14
75,988,0,12
76,984,0,16
77,985,0,15
78,985,0,15
79,983,0,17
80,984,0,16
81,993,0,7
82,990,0,10
83,985,0,15
84,981,0,19
85,987,0,13
86,985,0,15
87,989,0,11
88,989,0,11
89,987,0,13
90,986,0,14
91,988,0,12
92,986,0,14
93,991,0,9
94,992,0,8
95,988,0,12
96,991,0,9
97,992,0,8
98,991,0,9
99,993,0,7
