,won,lost,draw
0,385,525,90
1,420,504,76
2,457,426,117
3,396,500,104
4,445,418,137
5,424,433,143
6,499,387,114
7,470,416,114
8,503,381,116
9,518,363,119
10,529,398,73
11,591,318,91
12,549,351,100
13,576,336,88
14,563,335,102
15,562,352,86
16,530,362,108
17,545,342,113
18,540,348,112
19,536,340,124
20,520,344,136
21,555,348,97
22,609,304,87
23,601,289,110
24,575,312,113
25,572,325,103
26,573,334,93
27,580,311,109
28,614,303,83
29,608,311,81
30,676,270,54
31,670,235,95
32,704,227,69
33,677,229,94
34,625,264,111
35,581,301,118
36,581,278,141
37,635,214,151
38,644,215,141
39,618,254,128
40,630,234,136
41,548,276,176
42,549,262,189
43,584,238,178
44,585,237,178
45,586,225,189
46,558,260,182
47,560,289,151
48,585,275,140
49,608,246,146
50,606,229,165
51,573,286,141
52,584,253,163
53,558,304,138
54,612,235,153
55,599,270,131
56,644,231,125
57,585,224,191
58,641,193,166
59,584,244,172
60,604,236,160
61,572,254,174
62,610,240,150
63,649,185,166
64,595,207,198
65,598,202,200
66,632,190,178
67,649,175,176
68,614,170,216
69,647,181,172
70,645,178,177
71,575,224,201
72,592,190,218
73,668,156,176
74,629,190,181
75,637,165,198
76,652,179,169
77,631,202,167
78,687,161,152
79,662,176,162
80,634,189,177
81,631,190,179
82,652,164,184
83,714,139,147
84,638,169,193
85,646,159,195
86,687,156,157
87,708,162,130
88,717,144,139
89,751,123,126
90,738,141,121
91,703,146,151
92,702,149,149
93,738,124,138
94,735,124,141
95,767,107,126
96,747,122,131
97,777,115,108
98,752,111,137
99,788,106,106
