,won,lost,draw
0,574,277,149
1,729,193,78
2,628,283,89
3,695,196,109
4,847,73,80
5,908,39,53
6,872,73,55
7,947,22,31
8,908,26,66
9,924,28,48
10,949,27,24
11,897,34,69
12,949,31,20
13,977,1,22
14,977,1,22
15,948,23,29
16,915,37,48
17,969,24,7
18,984,9,7
19,977,2,21
20,977,0,23
21,968,0,32
22,968,0,32
23,985,2,13
24,931,33,36
25,971,2,27
26,992,0,8
27,996,0,4
28,997,0,3
29,996,0,4
30,985,0,15
31,923,19,58
32,869,25,106
33,996,0,4
34,996,0,4
35,995,0,5
36,986,0,14
37,879,23,98
38,996,0,4
39,993,0,7
40,993,0,7
41,982,0,18
42,977,0,23
43,991,0,9
44,977,0,23
45,989,0,11
46,984,0,16
47,990,0,10
48,988,0,12
49,989,0,11
50,988,0,12
51,987,0,13
52,996,0,4
53,995,0,5
54,998,0,2
55,997,0,3
56,998,0,2
57,994,0,6
58,992,0,8
59,993,0,7
60,991,0,9
61,992,0,8
62,993,0,7
63,998,0,2
64,997,0,3
65,996,0,4
66,996,0,4
67,992,0,8
68,1000,0,0
69,994,0,6
70,991,0,9
71,998,0,2
72,992,0,8
73,976,0,24
74,994,0,6
75,995,0,5
76,994,0,6
77,996,0,4
78,998,0,2
79,993,0,7
80,994,0,6
81,994,0,6
82,996,0,4
83,999,0,1
84,996,0,4
85,991,0,9
86,995,0,5
87,994,0,6
88,993,0,7
89,996,0,4
90,996,0,4
91,996,0,4
92,995,0,5
93,994,0,6
94,997,0,3
95,993,0,7
96,995,0,5
97,998,0,2
98,993,0,7
99,996,0,4
