,won,lost,draw
0,268,617,115
1,311,530,159
2,302,564,134
3,330,560,110
4,332,561,107
5,373,502,125
6,293,540,167
7,321,528,151
8,322,534,144
9,325,530,145
10,362,507,131
11,355,470,175
12,358,496,146
13,344,477,179
14,380,479,141
15,412,456,132
16,418,470,112
17,381,516,103
18,358,503,139
19,381,490,129
20,371,497,132
21,334,511,155
22,398,475,127
23,376,476,148
24,396,455,149
25,404,434,162
26,435,422,143
27,432,403,165
28,508,360,132
29,518,353,129
30,529,345,126
31,490,383,127
32,479,396,125
33,474,386,140
34,519,376,105
35,500,402,98
36,465,379,156
37,500,388,112
38,478,393,129
39,466,396,138
40,497,351,152
41,497,358,145
42,460,376,164
43,506,365,129
44,469,377,154
45,482,379,139
46,517,363,120
47,550,336,114
48,525,362,113
49,564,329,107
50,569,341,90
51,553,338,109
52,545,315,140
53,538,333,129
54,496,373,131
55,512,360,128
56,512,327,161
57,512,351,137
58,538,314,148
59,519,311,170
60,534,341,125
61,503,370,127
62,527,343,130
63,509,322,169
64,491,360,149
65,567,295,138
66,536,334,130
67,532,338,130
68,541,322,137
69,520,356,124
70,523,343,134
71,536,339,125
72,523,340,137
73,581,301,118
74,563,302,135
75,540,303,157
76,569,290,141
77,553,331,116
78,543,339,118
79,524,317,159
80,553,287,160
81,519,336,145
82,542,298,160
83,521,300,179
84,555,271,174
85,569,232,199
86,578,235,187
87,556,252,192
88,552,275,173
89,580,263,157
90,595,241,164
91,578,250,172
92,580,260,160
93,581,252,167
94,611,252,137
95,574,259,167
96,571,277,152
97,560,272,168
98,589,266,145
99,580,248,172
