,won,lost,draw
0,239,580,181
1,285,512,203
2,242,579,179
3,333,511,156
4,380,502,118
5,361,538,101
6,359,527,114
7,404,470,126
8,381,487,132
9,409,394,197
10,446,385,169
11,453,424,123
12,433,389,178
13,461,398,141
14,464,408,128
15,443,429,128
16,437,389,174
17,488,371,141
18,473,378,149
19,489,383,128
20,467,396,137
21,458,398,144
22,465,369,166
23,454,445,101
24,478,426,96
25,513,388,99
26,540,354,106
27,511,360,129
28,505,367,128
29,492,372,136
30,497,360,143
31,471,382,147
32,518,320,162
33,517,359,124
34,509,377,114
35,533,368,99
36,518,340,142
37,463,373,164
38,478,388,134
39,432,402,166
40,391,418,191
41,401,391,208
42,387,419,194
43,397,453,150
44,453,373,174
45,416,425,159
46,449,392,159
47,439,396,165
48,442,391,167
49,489,345,166
50,480,356,164
51,512,316,172
52,491,321,188
53,486,338,176
54,511,307,182
55,498,317,185
56,486,337,177
57,527,299,174
58,494,342,164
59,523,292,185
60,504,274,222
61,488,307,205
62,532,295,173
63,518,311,171
64,549,278,173
65,578,249,173
66,546,293,161
67,566,274,160
68,605,229,166
69,635,199,166
70,580,217,203
71,623,241,136
72,570,236,194
73,593,206,201
74,610,215,175
75,580,232,188
76,628,237,135
77,636,185,179
78,601,205,194
79,558,239,203
80,628,208,164
81,578,236,186
82,605,232,163
83,619,242,139
84,632,223,145
85,608,237,155
86,647,218,135
87,596,273,131
88,597,231,172
89,618,218,164
90,630,190,180
91,636,214,150
92,628,205,167
93,622,215,163
94,613,218,169
95,654,184,162
96,640,202,158
97,651,189,160
98,670,176,154
99,674,184,142
