,won,lost,draw
0,342,529,129
1,365,531,104
2,432,434,134
3,395,439,166
4,410,440,150
5,422,424,154
6,443,428,129
7,456,394,150
8,546,307,147
9,523,318,159
10,542,329,129
11,544,286,170
12,583,273,144
13,644,214,142
14,598,226,176
15,642,273,85
16,661,204,135
17,700,165,135
18,576,242,182
19,707,158,135
20,701,142,157
21,706,139,155
22,702,148,150
23,701,134,165
24,721,114,165
25,691,136,173
26,760,100,140
27,742,111,147
28,764,100,136
29,807,77,116
30,756,98,146
31,729,78,193
32,721,85,194
33,796,45,159
34,806,47,147
35,811,34,155
36,828,30,142
37,821,40,139
38,841,22,137
39,783,44,173
40,804,32,164
41,809,24,167
42,831,29,140
43,811,25,164
44,825,12,163
45,854,17,129
46,817,19,164
47,834,27,139
48,819,18,163
49,819,30,151
50,850,23,127
51,830,22,148
52,806,22,172
53,820,21,159
54,843,13,144
55,847,18,135
56,837,19,144
57,825,22,153
58,838,17,145
59,859,19,122
60,854,22,124
61,816,27,157
62,832,28,140
63,807,32,161
64,821,6,173
65,831,16,153
66,870,7,123
67,867,2,131
68,841,10,149
69,850,11,139
70,844,7,149
71,867,8,125
72,875,6,119
73,878,1,121
74,835,16,149
75,834,16,150
76,856,22,122
77,853,6,141
78,842,18,140
79,855,11,134
80,836,15,149
81,852,4,144
82,853,10,137
83,894,7,99
84,870,6,124
85,850,15,135
86,856,19,125
87,848,11,141
88,893,10,97
89,891,10,99
90,870,12,118
91,870,5,125
92,855,9,136
93,885,5,110
94,885,9,106
95,842,14,144
96,847,15,138
97,882,2,116
98,862,3,135
99,881,0,119
