,won,lost,draw
0,333,573,94
1,419,475,106
2,474,411,115
3,464,423,113
4,450,454,96
5,556,317,127
6,588,284,128
7,529,280,191
8,645,215,140
9,644,193,163
10,635,207,158
11,669,162,169
12,775,89,136
13,683,161,156
14,686,121,193
15,741,100,159
16,715,124,161
17,760,84,156
18,775,81,144
19,854,42,104
20,784,60,156
21,834,41,125
22,838,34,128
23,807,40,153
24,878,4,118
25,852,16,132
26,851,23,126
27,887,6,107
28,874,25,101
29,842,19,139
30,880,12,108
31,861,19,120
32,865,4,131
33,850,12,138
34,882,4,114
35,884,4,112
36,891,3,106
37,885,6,109
38,896,5,99
39,883,7,110
40,860,12,128
41,876,9,115
42,884,1,115
43,879,8,113
44,898,6,96
45,879,12,109
46,896,9,95
47,891,6,103
48,906,4,90
49,894,2,104
50,880,1,119
51,882,0,118
52,899,0,101
53,908,0,92
54,905,0,95
55,887,2,111
56,884,0,116
57,872,0,128
58,895,0,105
59,860,2,138
60,857,4,139
61,856,1,143
62,840,2,158
63,877,0,123
64,903,0,97
65,878,0,122
66,878,0,122
67,879,0,121
68,885,0,115
69,886,0,114
70,865,0,135
71,901,0,99
72,889,0,111
73,902,0,98
74,908,0,92
75,886,0,114
76,880,0,120
77,880,0,120
78,874,0,126
79,885,0,115
80,859,5,136
81,848,5,147
82,856,2,142
83,878,2,120
84,896,0,104
85,889,0,111
86,886,0,114
87,858,0,142
88,886,0,114
89,883,0,117
90,880,0,120
91,890,0,110
92,895,0,105
93,875,0,125
94,879,0,121
95,885,0,115
96,891,0,109
97,889,0,111
98,901,0,99
99,888,0,112
