,won,lost,draw
0,724,148,128
1,680,249,71
2,703,172,125
3,781,141,78
4,920,55,25
5,803,125,72
6,961,11,28
7,967,23,10
8,876,53,71
9,963,21,16
10,922,28,50
11,927,35,38
12,941,34,25
13,970,5,25
14,881,50,69
15,949,30,21
16,945,48,7
17,991,0,9
18,986,11,3
19,915,52,33
20,943,41,16
21,961,14,25
22,930,10,60
23,981,0,19
24,981,0,19
25,991,0,9
26,988,0,12
27,984,0,16
28,992,0,8
29,987,0,13
30,986,0,14
31,988,0,12
32,985,0,15
33,994,0,6
34,995,0,5
35,990,0,10
36,987,0,13
37,990,0,10
38,988,0,12
39,993,0,7
40,986,0,14
41,982,0,18
42,989,0,11
43,991,0,9
44,992,0,8
45,985,0,15
46,993,0,7
47,991,0,9
48,985,0,15
49,989,0,11
50,994,0,6
51,990,0,10
52,987,0,13
53,991,0,9
54,992,0,8
55,994,0,6
56,988,0,12
57,993,0,7
58,986,0,14
59,985,0,15
60,993,0,7
61,990,0,10
62,996,0,4
63,993,0,7
64,985,0,15
65,991,0,9
66,996,0,4
67,989,0,11
68,986,0,14
69,988,0,12
70,986,0,14
71,987,0,13
72,988,0,12
73,986,0,14
74,990,0,10
75,989,0,11
76,995,0,5
77,992,0,8
78,990,0,10
79,986,0,14
80,987,0,13
81,989,0,11
82,993,0,7
83,988,0,12
84,983,0,17
85,991,0,9
86,995,0,5
87,993,0,7
88,992,0,8
89,986,0,14
90,992,0,8
91,992,0,8
92,987,0,13
93,988,0,12
94,993,0,7
95,992,0,8
96,990,0,10
97,995,0,5
98,994,0,6
99,992,0,8
