,won,lost,draw
0,687,166,147
1,738,154,108
2,793,133,74
3,862,97,41
4,810,76,114
5,761,156,83
6,901,64,35
7,832,97,71
8,964,21,15
9,943,33,24
10,898,40,62
11,923,39,38
12,862,86,52
13,974,16,10
14,942,16,42
15,961,13,26
16,974,4,22
17,976,0,24
18,953,25,22
19,972,9,19
20,922,34,44
21,952,20,28
22,970,2,28
23,912,22,66
24,914,29,57
25,969,0,31
26,978,5,17
27,991,0,9
28,989,6,5
29,983,3,14
30,988,0,12
31,977,0,23
32,973,0,27
33,979,0,21
34,973,0,27
35,980,0,20
36,987,0,13
37,990,0,10
38,984,0,16
39,974,0,26
40,983,0,17
41,990,0,10
42,986,0,14
43,991,0,9
44,982,0,18
45,985,0,15
46,992,0,8
47,994,0,6
48,982,0,18
49,983,0,17
50,989,0,11
51,984,0,16
52,988,0,12
53,988,0,12
54,983,0,17
55,977,0,23
56,987,0,13
57,979,0,21
58,984,0,16
59,974,0,26
60,985,0,15
61,992,0,8
62,986,0,14
63,994,0,6
64,987,0,13
65,988,0,12
66,994,0,6
67,986,0,14
68,991,0,9
69,986,0,14
70,982,0,18
71,987,0,13
72,989,0,11
73,983,0,17
74,994,0,6
75,990,0,10
76,994,0,6
77,996,0,4
78,994,0,6
79,993,0,7
80,994,0,6
81,987,0,13
82,994,0,6
83,986,0,14
84,994,0,6
85,992,0,8
86,991,0,9
87,993,0,7
88,990,0,10
89,993,0,7
90,992,0,8
91,990,0,10
92,983,0,17
93,992,0,8
94,990,0,10
95,989,0,11
96,990,0,10
97,991,0,9
98,989,0,11
99,988,0,12
