,won,lost,draw
0,324,536,140
1,339,499,162
2,400,415,185
3,542,310,148
4,547,285,168
5,556,282,162
6,684,144,172
7,715,131,154
8,670,150,180
9,676,126,198
10,736,82,182
11,767,66,167
12,798,67,135
13,787,48,165
14,742,65,193
15,859,26,115
16,882,28,90
17,896,21,83
18,884,32,84
19,888,34,78
20,878,17,105
21,880,23,97
22,852,13,135
23,875,12,113
24,873,5,122
25,897,4,99
26,873,5,122
27,909,0,91
28,896,1,103
29,892,5,103
30,881,0,119
31,882,0,118
32,905,0,95
33,880,0,120
34,904,4,92
35,893,0,107
36,894,0,106
37,897,0,103
38,910,0,90
39,859,12,129
40,859,7,134
41,871,7,122
42,896,0,104
43,889,0,111
44,915,0,85
45,902,0,98
46,916,0,84
47,910,0,90
48,913,0,87
49,916,0,84
50,919,0,81
51,910,0,90
52,914,0,86
53,901,0,99
54,910,0,90
55,914,0,86
56,923,0,77
57,904,0,96
58,914,0,86
59,914,0,86
60,902,0,98
61,911,0,89
62,913,0,87
63,900,0,100
64,913,0,87
65,919,0,81
66,918,0,82
67,919,0,81
68,913,0,87
69,905,0,95
70,900,0,100
71,921,0,79
72,904,0,96
73,914,0,86
74,909,0,91
75,908,0,92
76,925,0,75
77,899,0,101
78,906,0,94
79,927,0,73
80,918,0,82
81,901,0,99
82,913,0,87
83,915,0,85
84,904,0,96
85,909,0,91
86,920,0,80
87,925,0,75
88,912,0,88
89,916,0,84
90,909,0,91
91,913,0,87
92,910,0,90
93,910,0,90
94,924,0,76
95,917,0,83
96,905,0,95
97,898,0,102
98,911,0,89
99,905,0,95
