,won,lost,draw
0,310,581,109
1,404,475,121
2,463,454,83
3,489,385,126
4,488,394,118
5,556,340,104
6,484,319,197
7,507,274,219
8,529,292,179
9,597,201,202
10,596,173,231
11,602,190,208
12,682,147,171
13,671,125,204
14,692,111,197
15,724,88,188
16,673,128,199
17,753,89,158
18,731,80,189
19,748,62,190
20,807,34,159
21,808,42,150
22,804,47,149
23,820,36,144
24,803,29,168
25,823,30,147
26,788,55,157
27,802,61,137
28,799,50,151
29,841,40,119
30,836,33,131
31,821,37,142
32,846,20,134
33,841,23,136
34,831,19,150
35,815,24,161
36,827,36,137
37,834,22,144
38,762,25,213
39,848,29,123
40,856,27,117
41,834,26,140
42,809,26,165
43,849,15,136
44,849,18,133
45,862,20,118
46,847,20,133
47,860,17,123
48,856,24,120
49,865,19,116
50,828,20,152
51,840,15,145
52,847,18,135
53,820,22,158
54,800,25,175
55,787,30,183
56,819,14,167
57,809,8,183
58,856,3,141
59,849,12,139
60,840,13,147
61,828,8,164
62,869,8,123
63,865,8,127
64,877,13,110
65,866,9,125
66,858,10,132
67,894,7,99
68,897,2,101
69,878,6,116
70,870,3,127
71,879,4,117
72,867,4,129
73,884,1,115
74,872,0,128
75,883,2,115
76,877,0,123
77,888,2,110
78,881,0,119
79,879,2,119
80,879,0,121
81,883,2,115
82,889,1,110
83,870,2,128
84,886,6,108
85,871,0,129
86,890,0,110
87,876,0,124
88,872,0,128
89,862,0,138
90,888,0,112
91,883,0,117
92,885,0,115
93,881,0,119
94,877,0,123
95,893,0,107
96,880,0,120
97,901,0,99
98,905,0,95
99,915,0,85
