,won,lost,draw
0,441,490,69
1,379,543,78
2,440,478,82
3,441,473,86
4,499,425,76
5,515,412,73
6,524,383,93
7,451,427,122
8,536,348,116
9,545,380,75
10,496,343,161
11,538,340,122
12,569,296,135
13,550,324,126
14,598,243,159
15,605,255,140
16,551,262,187
17,574,253,173
18,494,269,237
19,531,235,234
20,519,238,243
21,546,246,208
22,591,209,200
23,603,185,212
24,599,178,223
25,691,156,153
26,653,162,185
27,705,149,146
28,734,123,143
29,763,109,128
30,764,104,132
31,778,108,114
32,714,121,165
33,774,114,112
34,785,110,105
35,789,107,104
36,783,102,115
37,789,89,122
38,799,97,104
39,819,81,100
40,795,79,126
41,805,80,115
42,807,77,116
43,795,70,135
44,833,39,128
45,815,68,117
46,810,54,136
47,839,45,116
48,806,55,139
49,831,43,126
50,848,40,112
51,841,45,114
52,823,59,118
53,828,49,123
54,806,57,137
55,811,50,139
56,819,46,135
57,804,55,141
58,840,34,126
59,855,34,111
60,825,42,133
61,838,41,121
62,833,31,136
63,851,34,115
64,874,44,82
65,898,18,84
66,890,18,92
67,907,18,75
68,913,16,71
69,892,13,95
70,889,21,90
71,896,16,88
72,912,10,78
73,900,10,90
74,897,8,95
75,882,9,109
76,895,10,95
77,905,2,93
78,899,8,93
79,903,12,85
80,899,15,86
81,900,3,97
82,910,9,81
83,907,0,93
84,926,2,72
85,908,4,88
86,907,0,93
87,911,3,86
88,909,3,88
89,912,5,83
90,899,0,101
91,909,0,91
92,913,2,85
93,915,3,82
94,929,0,71
95,909,1,90
96,910,2,88
97,906,3,91
98,917,4,79
99,911,2,87
