,won,lost,draw
0,624,285,91
1,625,237,138
2,709,200,91
3,817,97,86
4,728,197,75
5,755,169,76
6,596,255,149
7,857,107,36
8,936,35,29
9,932,37,31
10,864,78,58
11,844,82,74
12,869,76,55
13,968,25,7
14,943,33,24
15,936,20,44
16,924,53,23
17,925,14,61
18,920,24,56
19,955,20,25
20,851,83,66
21,969,15,16
22,977,11,12
23,978,8,14
24,990,1,9
25,937,41,22
26,953,9,38
27,994,0,6
28,963,13,24
29,964,17,19
30,973,3,24
31,975,5,20
32,977,3,20
33,863,76,61
34,934,16,50
35,925,21,54
36,983,0,17
37,929,9,62
38,999,0,1
39,994,0,6
40,988,0,12
41,991,0,9
42,999,0,1
43,992,0,8
44,996,0,4
45,996,0,4
46,994,0,6
47,998,0,2
48,995,0,5
49,994,0,6
50,995,0,5
51,992,0,8
52,994,0,6
53,998,0,2
54,994,0,6
55,998,0,2
56,992,0,8
57,996,0,4
58,993,0,7
59,990,0,10
60,996,0,4
61,996,0,4
62,997,0,3
63,994,0,6
64,995,0,5
65,994,0,6
66,924,21,55
67,992,0,8
68,914,14,72
69,994,0,6
70,994,0,6
71,997,0,3
72,994,0,6
73,996,0,4
74,998,0,2
75,996,0,4
76,993,0,7
77,994,0,6
78,986,0,14
79,993,0,7
80,999,0,1
81,992,0,8
82,994,0,6
83,997,0,3
84,920,16,64
85,997,0,3
86,993,0,7
87,996,0,4
88,995,0,5
89,993,0,7
90,994,0,6
91,931,0,69
92,917,4,79
93,911,4,85
94,928,5,67
95,996,0,4
96,985,0,15
97,995,0,5
98,993,0,7
99,991,0,9
