,won,lost,draw
0,257,609,134
1,320,553,127
2,382,495,123
3,480,435,85
4,450,444,106
5,517,387,96
6,567,330,103
7,539,326,135
8,542,336,122
9,576,285,139
10,575,253,172
11,606,225,169
12,580,222,198
13,583,226,191
14,553,227,220
15,542,214,244
16,552,207,241
17,528,227,245
18,572,187,241
19,608,147,245
20,639,137,224
21,604,153,243
22,599,130,271
23,648,135,217
24,674,96,230
25,705,98,197
26,678,109,213
27,720,91,189
28,731,89,180
29,722,81,197
30,778,55,167
31,780,47,173
32,783,54,163
33,766,42,192
34,783,49,168
35,806,35,159
36,846,34,120
37,833,38,129
38,820,41,139
39,859,27,114
40,825,27,148
41,790,39,171
42,786,41,173
43,762,59,179
44,808,48,144
45,802,47,151
46,803,36,161
47,826,31,143
48,802,42,156
49,835,40,125
50,833,29,138
51,845,19,136
52,844,24,132
53,840,29,131
54,844,19,137
55,853,11,136
56,852,20,128
57,841,21,138
58,854,17,129
59,815,28,157
60,827,10,163
61,805,16,179
62,848,17,135
63,807,25,168
64,823,16,161
65,851,20,129
66,822,32,146
67,825,26,149
68,856,24,120
69,861,9,130
70,862,16,122
71,867,7,126
72,842,8,150
73,880,3,117
74,881,7,112
75,865,6,129
76,857,10,133
77,863,2,135
78,875,5,120
79,885,6,109
80,868,2,130
81,858,4,138
82,860,3,137
83,874,7,119
84,884,3,113
85,893,1,106
86,896,5,99
87,891,3,106
88,890,6,104
89,889,3,108
90,892,6,102
91,883,2,115
92,875,3,122
93,884,2,114
94,885,0,115
95,894,0,106
96,858,2,140
97,877,4,119
98,869,0,131
99,890,0,110
