,won,lost,draw
0,374,473,153
1,396,488,116
2,524,389,87
3,481,438,81
4,536,349,115
5,506,361,133
6,498,333,169
7,540,289,171
8,526,306,168
9,487,362,151
10,492,365,143
11,563,243,194
12,613,221,166
13,616,213,171
14,507,311,182
15,611,260,129
16,664,188,148
17,634,207,159
18,669,171,160
19,726,152,122
20,658,186,156
21,688,137,175
22,723,111,166
23,704,103,193
24,698,117,185
25,719,104,177
26,707,121,172
27,719,113,168
28,755,114,131
29,761,117,122
30,783,112,105
31,753,93,154
32,756,98,146
33,808,71,121
34,798,73,129
35,809,99,92
36,761,88,151
37,749,121,130
38,738,92,170
39,754,99,147
40,783,125,92
41,792,101,107
42,718,110,172
43,744,94,162
44,724,106,170
45,717,102,181
46,726,84,190
47,753,95,152
48,742,86,172
49,750,88,162
50,773,80,147
51,759,75,166
52,761,79,160
53,740,92,168
54,743,86,171
55,769,63,168
56,789,59,152
57,772,71,157
58,793,63,144
59,803,48,149
60,824,65,111
61,799,64,137
62,817,63,120
63,814,41,145
64,846,24,130
65,836,23,141
66,861,20,119
67,862,15,123
68,879,17,104
69,858,19,123
70,872,19,109
71,870,14,116
72,841,27,132
73,876,21,103
74,853,34,113
75,883,29,88
76,870,24,106
77,843,34,123
78,876,28,96
79,889,20,91
80,885,20,95
81,861,30,109
82,867,18,115
83,861,24,115
84,865,20,115
85,854,40,106
86,867,21,112
87,857,26,117
88,851,31,118
89,851,40,109
90,867,26,107
91,875,27,98
92,868,32,100
93,899,21,80
94,877,24,99
95,862,40,98
96,880,25,95
97,867,30,103
98,861,34,105
99,831,35,134
