,won,lost,draw
0,280,557,163
1,355,513,132
2,388,456,156
3,374,463,163
4,481,384,135
5,528,356,116
6,576,266,158
7,580,291,129
8,626,264,110
9,566,241,193
10,652,189,159
11,476,289,235
12,550,286,164
13,579,243,178
14,536,226,238
15,558,230,212
16,522,247,231
17,597,174,229
18,619,209,172
19,667,173,160
20,734,124,142
21,737,104,159
22,776,102,122
23,726,100,174
24,783,49,168
25,771,57,172
26,802,48,150
27,820,45,135
28,782,52,166
29,753,45,202
30,751,53,196
31,781,41,178
32,756,55,189
33,769,64,167
34,825,25,150
35,855,7,138
36,831,14,155
37,836,12,152
38,845,16,139
39,798,17,185
40,852,21,127
41,859,22,119
42,819,24,157
43,852,34,114
44,871,38,91
45,841,42,117
46,879,32,89
47,868,29,103
48,857,30,113
49,871,9,120
50,871,12,117
51,835,9,156
52,782,9,209
53,806,9,185
54,800,16,184
55,850,4,146
56,849,3,148
57,864,2,134
58,850,3,147
59,842,8,150
60,852,4,144
61,840,0,160
62,840,0,160
63,849,6,145
64,835,16,149
65,823,8,169
66,816,7,177
67,833,3,164
68,829,2,169
69,853,4,143
70,839,1,160
71,838,2,160
72,863,0,137
73,877,0,123
74,889,3,108
75,884,0,116
76,894,2,104
77,880,0,120
78,881,2,117
79,884,1,115
80,864,3,133
81,900,2,98
82,888,0,112
83,883,0,117
84,893,0,107
85,890,3,107
86,898,2,100
87,886,2,112
88,877,0,123
89,878,0,122
90,876,0,124
91,863,2,135
92,841,3,156
93,880,0,120
94,862,2,136
95,871,5,124
96,896,0,104
97,865,3,132
98,862,1,137
99,876,1,123
