,won,lost,draw
0,381,510,109
1,385,482,133
2,490,429,81
3,451,357,192
4,495,358,147
5,512,344,144
6,585,286,129
7,516,224,260
8,614,209,177
9,610,176,214
10,605,161,234
11,647,163,190
12,621,145,234
13,705,122,173
14,696,114,190
15,655,108,237
16,764,61,175
17,767,55,178
18,781,50,169
19,789,46,165
20,768,55,177
21,799,51,150
22,840,35,125
23,874,25,101
24,875,29,96
25,904,10,86
26,878,23,99
27,858,16,126
28,884,22,94
29,892,11,97
30,900,13,87
31,874,15,111
32,873,15,112
33,866,15,119
34,848,15,137
35,878,16,106
36,878,10,112
37,884,8,108
38,869,16,115
39,871,15,114
40,882,12,106
41,872,13,115
42,871,6,123
43,881,5,114
44,859,13,128
45,916,5,79
46,900,2,98
47,898,3,99
48,902,4,94
49,904,1,95
50,904,2,94
51,903,2,95
52,895,0,105
53,889,0,111
54,893,0,107
55,875,2,123
56,858,1,141
57,836,5,159
58,882,0,118
59,865,0,135
60,862,0,138
61,860,0,140
62,872,0,128
63,823,0,177
64,853,0,147
65,855,0,145
66,848,0,152
67,883,0,117
68,886,0,114
69,862,0,138
70,877,0,123
71,817,4,179
72,874,0,126
73,863,0,137
74,854,0,146
75,860,1,139
76,874,2,124
77,866,3,131
78,881,0,119
79,879,0,121
80,883,0,117
81,873,0,127
82,870,1,129
83,866,2,132
84,865,0,135
85,862,3,135
86,877,0,123
87,867,1,132
88,870,0,130
89,862,3,135
90,870,0,130
91,855,1,144
92,857,1,142
93,836,1,163
94,870,1,129
95,856,0,144
96,847,1,152
97,870,1,129
98,856,1,143
99,843,0,157
