,won,lost,draw
0,700,186,114
1,569,337,94
2,712,180,108
3,645,199,156
4,611,218,171
5,848,93,59
6,785,122,93
7,703,213,84
8,741,150,109
9,747,145,108
10,822,84,94
11,794,91,115
12,902,37,61
13,911,55,34
14,967,13,20
15,954,32,14
16,858,90,52
17,984,5,11
18,986,5,9
19,636,251,113
20,971,21,8
21,980,12,8
22,927,31,42
23,985,2,13
24,988,3,9
25,978,0,22
26,988,0,12
27,974,0,26
28,990,0,10
29,976,0,24
30,988,0,12
31,932,52,16
32,877,49,74
33,933,26,41
34,987,0,13
35,991,0,9
36,974,0,26
37,983,0,17
38,982,0,18
39,984,0,16
40,991,0,9
41,979,0,21
42,976,0,24
43,991,0,9
44,983,0,17
45,808,97,95
46,983,9,8
47,968,7,25
48,981,10,9
49,989,0,11
50,988,0,12
51,996,0,4
52,995,0,5
53,993,0,7
54,827,113,60
55,993,0,7
56,994,0,6
57,987,0,13
58,989,0,11
59,988,0,12
60,990,0,10
61,978,0,22
62,990,0,10
63,986,0,14
64,987,0,13
65,992,0,8
66,993,0,7
67,975,0,25
68,977,0,23
69,864,61,75
70,982,13,5
71,976,3,21
72,989,4,7
73,998,0,2
74,998,0,2
75,995,0,5
76,996,0,4
77,995,0,5
78,999,0,1
79,995,0,5
80,994,0,6
81,995,0,5
82,994,0,6
83,995,0,5
84,996,0,4
85,991,6,3
86,998,0,2
87,997,0,3
88,995,0,5
89,996,0,4
90,998,0,2
91,999,0,1
92,991,0,9
93,998,0,2
94,992,7,1
95,992,0,8
96,996,0,4
97,997,0,3
98,992,0,8
99,995,0,5
