,won,lost,draw
0,610,307,83
1,674,222,104
2,723,204,73
3,730,175,95
4,799,124,77
5,764,127,109
6,796,94,110
7,693,238,69
8,749,170,81
9,854,81,65
10,872,64,64
11,875,44,81
12,881,53,66
13,944,27,29
14,921,28,51
15,929,22,49
16,952,21,27
17,732,141,127
18,886,78,36
19,916,56,28
20,908,56,36
21,954,13,33
22,834,90,76
23,901,58,41
24,942,27,31
25,956,14,30
26,952,16,32
27,896,69,35
28,981,5,14
29,847,81,72
30,984,6,10
31,963,8,29
32,934,38,28
33,919,37,44
34,910,54,36
35,942,40,18
36,965,15,20
37,954,15,31
38,957,20,23
39,970,21,9
40,900,69,31
41,925,60,15
42,917,49,34
43,966,12,22
44,961,15,24
45,960,9,31
46,961,15,24
47,979,2,19
48,963,4,33
49,979,3,18
50,909,52,39
51,971,13,16
52,977,4,19
53,981,7,12
54,981,2,17
55,960,22,18
56,925,31,44
57,952,18,30
58,942,33,25
59,873,45,82
60,957,20,23
61,797,119,84
62,904,23,73
63,988,4,8
64,985,8,7
65,982,4,14
66,983,1,16
67,979,8,13
68,985,0,15
69,983,0,17
70,956,32,12
71,987,0,13
72,982,0,18
73,985,0,15
74,982,0,18
75,988,0,12
76,978,0,22
77,924,42,34
78,818,78,104
79,844,75,81
80,962,8,30
81,975,5,20
82,975,11,14
83,957,21,22
84,991,0,9
85,879,44,77
86,932,43,25
87,987,0,13
88,976,14,10
89,934,36,30
90,928,40,32
91,879,32,89
92,816,48,136
93,850,61,89
94,893,56,51
95,897,53,50
96,938,42,20
97,954,22,24
98,926,7,67
99,900,47,53
