,won,lost,draw
0,544,380,76
1,605,288,107
2,791,122,87
3,781,149,70
4,883,91,26
5,803,126,71
6,923,49,28
7,794,157,49
8,826,83,91
9,909,51,40
10,883,78,39
11,953,33,14
12,934,29,37
13,959,1,40
14,990,0,10
15,944,18,38
16,932,35,33
17,899,57,44
18,992,4,4
19,994,0,6
20,994,0,6
21,995,0,5
22,997,0,3
23,995,0,5
24,991,0,9
25,997,0,3
26,992,0,8
27,997,0,3
28,995,0,5
29,989,0,11
30,996,0,4
31,993,0,7
32,996,0,4
33,997,0,3
34,992,0,8
35,996,0,4
36,907,44,49
37,992,0,8
38,995,0,5
39,989,0,11
40,996,0,4
41,995,0,5
42,996,0,4
43,996,0,4
44,995,0,5
45,995,0,5
46,994,0,6
47,988,0,12
48,994,0,6
49,996,0,4
50,995,0,5
51,994,0,6
52,996,0,4
53,994,0,6
54,995,0,5
55,995,0,5
56,993,0,7
57,992,0,8
58,996,0,4
59,932,10,58
60,998,0,2
61,901,41,58
62,992,0,8
63,995,0,5
64,994,0,6
65,995,0,5
66,997,0,3
67,998,0,2
68,916,26,58
69,934,10,56
70,922,12,66
71,933,10,57
72,996,0,4
73,995,0,5
74,996,0,4
75,998,0,2
76,866,42,92
77,889,30,81
78,914,8,78
79,909,21,70
80,994,0,6
81,996,0,4
82,989,0,11
83,996,0,4
84,996,0,4
85,993,0,7
86,992,0,8
87,994,0,6
88,999,0,1
89,990,0,10
90,996,0,4
91,996,0,4
92,997,0,3
93,993,0,7
94,999,0,1
95,996,0,4
96,997,0,3
97,992,0,8
98,996,0,4
99,995,0,5
