,won,lost,draw
0,665,239,96
1,584,311,105
2,790,141,69
3,834,111,55
4,724,182,94
5,750,169,81
6,880,85,35
7,716,189,95
8,908,72,20
9,593,301,106
10,663,255,82
11,909,58,33
12,623,230,147
13,912,74,14
14,926,61,13
15,904,70,26
16,910,54,36
17,917,65,18
18,934,43,23
19,913,55,32
20,915,64,21
21,745,168,87
22,728,197,75
23,722,197,81
24,940,48,12
25,949,23,28
26,972,13,15
27,640,218,142
28,776,146,78
29,780,156,64
30,777,97,126
31,823,98,79
32,731,176,93
33,696,196,108
34,886,69,45
35,871,84,45
36,752,143,105
37,918,45,37
38,963,23,14
39,948,40,12
40,941,33,26
41,840,132,28
42,967,6,27
43,967,12,21
44,983,7,10
45,976,16,8
46,961,10,29
47,971,17,12
48,966,5,29
49,983,4,13
50,896,53,51
51,813,87,100
52,845,73,82
53,900,36,64
54,984,8,8
55,849,100,51
56,937,30,33
57,911,52,37
58,922,63,15
59,956,33,11
60,973,17,10
61,952,22,26
62,906,24,70
63,910,39,51
64,903,63,34
65,973,19,8
66,966,19,15
67,955,38,7
68,970,17,13
69,909,75,16
70,925,48,27
71,802,112,86
72,848,66,86
73,841,99,60
74,960,18,22
75,983,12,5
76,761,176,63
77,950,13,37
78,964,9,27
79,979,4,17
80,965,2,33
81,975,0,25
82,973,3,24
83,961,7,32
84,983,0,17
85,992,0,8
86,782,139,79
87,988,2,10
88,989,4,7
89,992,1,7
90,980,0,20
91,974,18,8
92,982,8,10
93,981,5,14
94,991,3,6
95,981,11,8
96,990,4,6
97,985,5,10
98,987,3,10
99,983,2,15
