,won,lost,draw
0,408,473,119
1,402,493,105
2,479,373,148
3,481,399,120
4,495,385,120
5,559,323,118
6,518,346,136
7,544,341,115
8,563,281,156
9,570,259,171
10,560,294,146
11,694,205,101
12,659,202,139
13,675,186,139
14,626,193,181
15,659,155,186
16,652,174,174
17,746,150,104
18,793,77,130
19,806,83,111
20,713,115,172
21,717,108,175
22,832,61,107
23,829,40,131
24,736,60,204
25,828,38,134
26,846,18,136
27,856,40,104
28,842,36,122
29,892,15,93
30,863,25,112
31,873,27,100
32,851,47,102
33,870,15,115
34,889,5,106
35,880,12,108
36,846,9,145
37,870,11,119
38,884,8,108
39,864,4,132
40,875,7,118
41,869,8,123
42,887,4,109
43,885,8,107
44,885,3,112
45,826,14,160
46,856,10,134
47,861,6,133
48,869,8,123
49,884,1,115
50,872,0,128
51,836,8,156
52,866,5,129
53,884,2,114
54,888,2,110
55,888,0,112
56,886,0,114
57,889,0,111
58,881,0,119
59,905,0,95
60,897,4,99
61,896,0,104
62,897,0,103
63,878,7,115
64,891,3,106
65,885,2,113
66,885,2,113
67,887,1,112
68,870,0,130
69,881,1,118
70,902,2,96
71,880,2,118
72,891,1,108
73,906,0,94
74,879,0,121
75,902,1,97
76,891,4,105
77,900,1,99
78,888,4,108
79,891,0,109
80,890,2,108
81,879,3,118
82,894,0,106
83,875,0,125
84,881,0,119
85,883,0,117
86,885,2,113
87,890,0,110
88,879,0,121
89,884,0,116
90,875,0,125
91,894,0,106
92,899,0,101
93,920,0,80
94,877,0,123
95,870,0,130
96,876,0,124
97,870,0,130
98,879,0,121
99,884,0,116
