,won,lost,draw
0,614,214,172
1,678,207,115
2,775,99,126
3,702,175,123
4,883,73,44
5,840,122,38
6,893,69,38
7,940,33,27
8,919,36,45
9,914,25,61
10,922,53,25
11,936,49,15
12,974,7,19
13,864,66,70
14,967,10,23
15,948,8,44
16,801,137,62
17,962,6,32
18,970,7,23
19,920,28,52
20,980,1,19
21,956,11,33
22,877,64,59
23,987,5,8
24,995,0,5
25,994,0,6
26,973,2,25
27,981,0,19
28,967,6,27
29,928,18,54
30,972,0,28
31,988,0,12
32,989,3,8
33,975,3,22
34,978,2,20
35,975,3,22
36,987,1,12
37,989,3,8
38,989,1,10
39,990,2,8
40,992,0,8
41,992,0,8
42,994,0,6
43,991,0,9
44,992,0,8
45,985,0,15
46,986,0,14
47,889,6,105
48,988,0,12
49,978,0,22
50,984,0,16
51,983,0,17
52,985,0,15
53,988,0,12
54,984,0,16
55,988,0,12
56,988,0,12
57,990,0,10
58,986,0,14
59,988,0,12
60,996,0,4
61,987,0,13
62,995,0,5
63,986,0,14
64,993,0,7
65,991,0,9
66,991,0,9
67,987,0,13
68,991,0,9
69,988,0,12
70,990,0,10
71,990,0,10
72,988,0,12
73,986,0,14
74,993,0,7
75,990,0,10
76,991,0,9
77,993,0,7
78,987,0,13
79,994,0,6
80,993,0,7
81,993,0,7
82,990,0,10
83,991,0,9
84,992,0,8
85,989,0,11
86,987,0,13
87,987,0,13
88,996,0,4
89,991,0,9
90,989,0,11
91,992,0,8
92,989,0,11
93,989,0,11
94,986,0,14
95,988,0,12
96,989,0,11
97,992,0,8
98,990,0,10
99,987,0,13
