,won,lost,draw
0,378,511,111
1,378,461,161
2,480,414,106
3,465,380,155
4,504,382,114
5,519,315,166
6,520,269,211
7,582,222,196
8,638,198,164
9,599,208,193
10,616,172,212
11,809,60,131
12,801,72,127
13,794,45,161
14,802,50,148
15,827,31,142
16,792,57,151
17,808,33,159
18,735,35,230
19,813,38,149
20,851,34,115
21,867,21,112
22,860,18,122
23,840,16,144
24,849,11,140
25,832,15,153
26,859,16,125
27,862,12,126
28,886,8,106
29,866,13,121
30,884,5,111
31,886,7,107
32,892,3,105
33,901,2,97
34,889,11,100
35,873,10,117
36,872,4,124
37,884,16,100
38,877,5,118
39,897,8,95
40,912,1,87
41,921,0,79
42,909,3,88
43,893,3,104
44,897,3,100
45,889,2,109
46,895,2,103
47,918,1,81
48,881,3,116
49,901,2,97
50,882,2,116
51,901,0,99
52,889,0,111
53,892,0,108
54,875,0,125
55,893,0,107
56,875,0,125
57,884,0,116
58,884,0,116
59,897,0,103
60,877,0,123
61,879,0,121
62,879,0,121
63,893,0,107
64,893,0,107
65,896,0,104
66,899,0,101
67,885,0,115
68,899,0,101
69,904,0,96
70,896,0,104
71,883,0,117
72,892,0,108
73,883,0,117
74,898,0,102
75,907,0,93
76,908,0,92
77,913,0,87
78,887,0,113
79,898,0,102
80,912,0,88
81,922,0,78
82,890,0,110
83,913,0,87
84,898,0,102
85,887,0,113
86,901,0,99
87,906,0,94
88,880,0,120
89,892,0,108
90,898,0,102
91,911,0,89
92,916,0,84
93,895,0,105
94,908,0,92
95,914,0,86
96,902,0,98
97,889,0,111
98,905,0,95
99,898,0,102
