,0_0,0_1,0_2,1_1,1_2,2_2,1_0,2_0,2_1
S|0x1,4.628494902746529e-09,0,3.477651441720889e-15,0.001780455221717578,1.214891174278405e-12,2.634402165673786e-09,5.87262369432667e-19,4.807658117973586e-06,1.687929478143218e-24
S|0x1|1o0,0,0,0,0,0,0,0,0,0
S|0x1|1x2|1o0,5.8520284532976053e-05,0,0.0,0.0,0,0.3459814594222994,0,0.00013213908393048352,0.0
S|0x1|1x2|1o0|2o1,0,0,0,0,0,0,0,0,0
S|0x1|1x1|1x2|1o0|2o1,0.0,0,0,0,0,1.971370870906025e-05,0,0,0
S|0x1|1x1|1x2|0o0|1o0|2o1,0,0,0,0,0,0,0,0,0
S|0x1|1x1|1x2|2x0|0o0|1o0|2o1,0,0,0.0,0,0,-1,0,0,0
S|0x1|1x1|1x2|2x0|0o0|0o2|1o0|2o1,0,0,0,0,0,0,0,0,0
S|0x0,0,4.857881884356928e-08,2.951092477746496e-14,0.0036442165570629145,5.746827975571453e-09,1.57398742905887e-08,2.8223743440790728e-27,2.840684063043379e-15,7.504099016299843e-14
S|0x0|0o1,0,0,0,0,0,0,0,0,0
S|0x0|1x1|0o1,0,0,0.0,0,0.0,7.562013287320771e-44,0.0,-1,0
S|0x0|1x1|0o1|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x0|1x1|0o1|2o2,0,0,-1,0,-1,0,0,-1,-1
S|0x0|1x0|1x1|0o1|2o1|2o2,0,0,0,0,0,0,0,0,0
S|0x0|0x2|1x0|1x1|0o1|2o1|2o2,0,0,0,0,-1,0,0,0.7,0
S|0x0|0x2|1x0|1x1|0o1|2o0|2o1|2o2,0,0,0,0,0,0,0,0,0
S|1x1,1.3401031246247375e-24,1.3408582776401967e-23,0.0010453402562937344,0,1.2570463403259686e-25,2.9057318558078578e-21,9.563921962975337e-26,1.4673565041965582e-23,3.3265633650803767e-21
S|1x1|2o0,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2o0,0,-1,-1,0,-1,0.017294403002343143,-1,0,-1
S|0x0|1x1|1o2|2o0,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x1|1o2|2o0,0,-1,-1,0,0,-1,-1,0,0
S|0x0|1x1|2x1|1o0|1o2|2o0,0,0,0,0,0,0,0,0,0
S|0x0|0x2|1x1|2x1|1o0|1o2|2o0,0,-1,0,0,0,-1,0,0,0
S|0x0|0x2|1x1|2x1|0o1|1o0|1o2|2o0,0,0,0,0,0,0,0,0,0
S|1x1|2x1|2o0,-1,0.0019667282633316946,-1,0,2.9242018792580893e-28,0.0,-1,0,0
S|1x1|2x1|1o2|2o0,0,0,0,0,0,0,0,0,0
S|1x1|2x1|2x2|1o2|2o0,-1,-1,-1,0,0,0,-1,0,0
S|1x1|2x1|2x2|0o1|1o2|2o0,0,0,0,0,0,0,0,0,0
S|1x1|0o1,0,0,0,0,0,0,0,0,0
S|1x1|2x0|0o1,-1,0,3.1909448506443593e-22,0,-1,-1,-1,0,-1
S|1x1|2x0|0o1|1o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2x2|0o1|1o2,-1,0,-1,0,0,0,-1,0,-1
S|1x1|2x0|2x2|0o1|1o0|1o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|0o0|0o1,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2x1|0o0|0o1,0,0,0.7,0,-1,-1,0,0,0
S|1x1|2x0|2x1|0o0|0o1|0o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|0o1|0o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2x2|0o1|0o2,0.7,0,0,0,0.30000000000000004,0,0.30000000000000004,0,-1
S|1x1|2x0|2x2|0o1|0o2|1o2,0,0,0,0,0,0,0,0,0
S|1x0|1x1|2x0|2x2|0o1|0o2|1o2,0.7,0,0,0,0,0,0,0,-1
S|1x0|1x1|2x0|2x2|0o1|0o2|1o2|2o1,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2x2|0o1|0o2|2o1,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2x2|0o0|0o1|0o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|0o1|0o2,0,0,0,0,-0.1899999999999999,-1,-1,0,-1
S|0x0|1x1|2x0|0o1|0o2|1o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|2x1|0o1|0o2|1o2,0,0,0,0,0,0.7,-1,0,0
S|0x0|1x1|2x0|2x1|0o1|0o2|1o2|2o2,0,0,0,0,0,0,0,0,0
S|1x0,9.626610310494464e-08,9.331154366787012e-10,1.1423495243228713e-09,0.07266535214728766,4.028492087135324e-34,3.227487370032826e-11,0,5.6225681277318894e-14,2.1554364830461992e-13
S|1x0|1o1,0,0,0,0,0,0,0,0,0
S|0x0|1x0|1o1,0,-1,-1,0,-1,-1,0,0.00016758344058942696,-1
S|0x0|1x0|1o1|1o2,0,0,0,0,0,0,0,0,0
S|0x0|1x0|2x2|1o1|1o2,0,-1,-1,0,0,0,0,8.896195415458713e-25,-1
S|0x0|1x0|2x2|1o1|1o2|2o0,0,0,0,0,0,0,0,0,0
S|0x0|0x1|1x0|2x2|1o1|1o2|2o0,0,0,0.7,0,0,0,0,0,-1
S|0x0|0x1|1x0|2x2|0o2|1o1|1o2|2o0,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|0o1|0o2|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|0o1|0o2|1o0,0,0,0,0,0,0,0,0,0
S|0x0|1x1|1x2|2x0|0o1|0o2|1o0,0,0,0,0,0,0.0,0,0,-1
S|0x0|1x1|1x2|2x0|0o1|0o2|1o0|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|2x1|0o1|0o2|1o0,0,0,0,0,-1,0.0,0,0,0
S|0x0|1x1|2x0|2x1|0o1|0o2|1o0|2o2,0,0,0,0,0,0,0,0,0
S|1x1|2x1|0o1,0,0,0.0037797847941955474,0,0.0,0.0,0,0.0,0
S|1x1|2x1|0o1|0o2,0,0,0,0,0,0,0,0,0
S|1x1|2x1|2x2|0o1|0o2,0.7,0,0,0,0,0,0,0,0
S|1x1|2x1|2x2|0o0|0o1|0o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|0o1|0o2|2o1,0,0,0,0,0,0,0,0,0
S|0x2|1x1|0o1,-1,0,0,0,-1,0.0,-0.7,6.46567829992543e-57,-1
S|0x2|1x1|0o1|2o2,0,0,0,0,0,0,0,0,0
S|0x2|1x1|1x2|0o1|2o2,-1,0,0,0,0,0,-1,-1,-1
S|0x2|1x1|1x2|0o1|2o0|2o2,0,0,0,0,0,0,0,0,0
S|0x2|1x1|1x2|2x1|0o1|2o0|2o2,-1,0,0,0,0,0,0.0,0,0
S|0x2|1x1|1x2|2x1|0o0|0o1|2o0|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x1|0o1|0o2,0,0,0,0,-1,0.03529583645755835,-1,-1,0
S|0x0|1x1|2x1|0o1|0o2|2o0,0,0,0,0,0,0,0,0,0
S|1x1|1o0,0,0,0,0,0,0,0,0,0
S|1x1|2x2|1o0,1.1110890240844683e-30,-1,-1,0,-1,0,0,-1,0.0
S|1x1|2x2|0o2|1o0,0,0,0,0,0,0,0,0,0
S|1x1|2x1|2x2|0o2|1o0,-1,-1,0,0,-1,0,0,-1,0
S|1x1|2x1|2x2|0o0|0o2|1o0,0,0,0,0,0,0,0,0,0
S|1x1|2o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2o2,-0.48999999999999994,-1,9.680883805840298e-21,0,-1,0,-1,0,0.0
S|1x1|2x0|2o1|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|2o1|2o2,0,-1,-1,0,-1,0,-1,0,0
S|0x0|1x1|2x0|1o0|2o1|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|1x2|0o1|2o2,0,0,-1,0,0,0,0.0,0,-1
S|0x0|1x1|1x2|0o1|2o1|2o2,0,0,0,0,0,0,0,0,0
S|2x1,4.647334205654705e-19,9.874746789178929e-16,2.5034262756196797e-06,0.04580571897195326,6.316026312190574e-09,8.307128882728559e-13,4.021709584183419e-19,5.557708581262355e-20,0
S|2x1|0o1,0,0,0,0,0,0,0,0,0
S|1x0|2x1|0o1,0,0,3.640238660476115e-05,3.522128253356382e-05,0,3.3240949483085024e-05,0,0.0,0
S|1x0|2x1|0o1|0o2,0,0,0,0,0,0,0,0,0
S|1x0|2x1|2x2|0o1|0o2,0.7,0,0,-1,0,0,0,0,0
S|1x0|2x1|2x2|0o1|0o2|1o1,0,0,0,0,0,0,0,0,0
S|1x0|1x2|2x1|2x2|0o1|0o2|1o1,0.7,0,0,0,0,0,0,0,0
S|1x0|1x2|2x1|2x2|0o0|0o1|0o2|1o1,0,0,0,0,0,0,0,0,0
S|0x0|1x0|0o1,0,0,-1,-1,-1,-1,0,1.5551598282342592e-09,-1
S|0x0|1x0|0o1|1o2,0,0,0,0,0,0,0,0,0
S|0x0|1x0|1x1|0o1|1o2,0,0,-1,0,0,-0.7,0,-1,-1
S|0x0|1x0|1x1|0o1|0o2|1o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|1x2|0o1|0o2|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|1x2|2x1|0o1|0o2|2o2,0,0,0,0,0,0,0.0,-1,0
S|0x0|1x1|1x2|2x1|0o1|0o2|1o0|2o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2x1|0o1|0o2,0.7,0,0,0,-1,0,0,0,0
S|1x0|2x2|1o1,1.836842820803063e-11,9.510774341140837e-12,5.426254069899288e-20,0,3.129132962060657e-16,0,0,5.064916631504424e-13,0.012106442289100117
S|1x0|2x2|0o1|1o1,0,0,0,0,0,0,0,0,0
S|0x0|1x0|2x2|0o1|1o1,0,0,-1,0,-0.1899999999999999,0,0,0.563397842267007,0.7
S|0x0|1x0|2x2|0o1|1o1|1o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|0o1|1o0,0,0,0,0,0,0,0,0,0
S|1x0|1x1|2x0|2x2|0o0|0o1|0o2|1o2,0,0,0,0,0,0,0,0,0
S|1x1|2x1|0o0|2o0,0,0,0,0,0,0,0,0,0
S|0x2|1x1|2x1|0o0|2o0,0,0.0,0,0,0.0,-1,0.7,0,0
S|0x2|1x1|2x1|0o0|1o0|2o0,0,0,0,0,0,0,0,0,0
S|0x0|1x0|1x1|0o1|1o2|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x0|1x1|2x1|0o1|1o2|2o2,0,0,0.7,0,0,0,0,0,0
S|0x0|1x0|1x1|2x1|0o1|0o2|1o2|2o2,0,0,0,0,0,0,0,0,0
S|1x1|0o2,0,0,0,0,0,0,0,0,0
S|1x1|2x1|0o2,-1,0.019063401767034287,0,0,-1,-1,0.0,-1,0
S|1x1|2x1|0o0|0o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2x1|0o0|0o2,0,0.7,0,0,0,-1,0,0,0
S|1x1|2x0|2x1|0o0|0o2|2o2,0,0,0,0,0,0,0,0,0
S|1x1|1x2|2x0|2x1|0o0|0o2|2o2,0,0.7,0,0,0,0,0,0,0
S|1x1|1x2|2x0|2x1|0o0|0o1|0o2|2o2,0,0,0,0,0,0,0,0,0
S|0x0|0x2|1x0|1x1|0o1|1o2|2o2,0,0,0,0,0,0,0,0.0,-1
S|0x0|0x2|1x0|1x1|0o1|1o2|2o0|2o2,0,0,0,0,0,0,0,0,0
S|1x1|2x1|0o1|2o0,0,0,0,0,0,0,0,0,0
S|1x1|1x2|2x1|0o1|2o0,-1,0,-1,0,0,-1,3.776778324521493e-09,0,0
S|1x1|1x2|2x1|0o1|0o2|2o0,0,0,0,0,0,0,0,0,0
S|1x1|1x2|0o2,-1,-1,0,0,0,-1,0.11103749266954106,-1,-1
S|1x1|1x2|0o1|0o2,0,0,0,0,0,0,0,0,0
S|1x1|1x2|2x2|0o1|0o2,0.7,0,0,0,0,0,-1,0,0
S|1x1|1x2|2x2|0o1|0o2|1o0,0,0,0,0,0,0,0,0,0
S|1x1|1x2|2x1|0o0|0o1|2o0,0,0,0,0,0,0,0,0,0
S|1x1|1x2|0o0|0o2,0,0,0,0,0,0,0,0,0
S|0x1|1x1|1x2|0o0|0o2,0,0,0,0,0,-1,-1,-1,-1
S|0x1|1x1|1x2|0o0|0o2|2o1,0,0,0,0,0,0,0,0,0
S|1x1|1x2|2x1|0o1|2o0|2o2,0,0,0,0,0,0,0,0,0
